Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
14,Thanasis Antetokounmpo\antetth01,SF,27,MIL,18,2,5.2,1.1,2.0,.528,0.0,0.4,.000,1.1,1.6,.655,.528,0.4,0.8,.467,0.6,0.4,1.1,0.5,0.3,0.1,0.6,0.7,2.5
15,Carmelo Anthony\anthoca01,PF,35,POR,51,51,32.5,5.8,13.5,.430,1.5,3.9,.374,4.4,9.6,.452,.483,2.3,2.7,.849,1.2,5.1,6.3,1.5,0.8,0.5,1.8,2.9,15.4
16,OG Anunoby\anunoog01,SF,22,TOR,63,62,30.1,4.2,8.4,.507,1.3,3.4,.381,2.9,5.0,.593,.584,0.9,1.4,.686,1.2,4.2,5.4,1.6,1.4,0.7,1.2,2.5,10.7
17,Ryan Arcidiacono\arcidry01,PG,25,CHI,58,4,16.0,1.6,3.8,.409,0.9,2.4,.391,0.6,1.4,.439,.532,0.5,0.7,.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5
18,Trevor Ariza\arizatr01,SF,34,TOT,53,21,28.2,2.7,6.1,.438,1.5,3.9,.372,1.2,2.2,.556,.557,1.2,1.4,.838,0.6,4.0,4.6,1.7,1.3,0.3,1.1,2.1,8.0
18,Trevor Ariza\arizatr01,SF,34,SAC,32,0,24.7,2.0,5.2,.388,1.3,3.8,.352,0.7,1.3,.488,.518,0.7,0.8,.778,0.7,3.9,4.6,1.6,1.1,0.2,0.9,2.0,6.0
18,Trevor Ariza\arizatr01,SF,34,POR,21,21,33.4,3.7,7.6,.491,1.6,4.0,.400,2.1,3.5,.595,.597,2.0,2.2,.872,0.6,4.1,4.8,2.0,1.6,0.4,1.3,2.3,11.0
19,D.J. Augustin\augusdj01,PG,32,ORL,50,7,24.8,3.2,8.1,.397,1.2,3.5,.345,2.0,4.6,.437,.472,2.8,3.1,.885,0.4,1.8,2.2,4.5,0.6,0.0,1.4,1.1,10.4
20,Deandre Ayton\aytonde01,C,21,PHO,31,26,33.3,8.6,15.5,.555,0.1,0.2,.333,8.5,15.3,.558,.557,1.9,2.5,.769,4.1,7.9,12.0,1.9,0.7,1.7,2.3,3.2,19.2
21,Dwayne Bacon\bacondw01,SG,24,CHO,39,11,17.6,2.2,6.3,.348,0.5,1.7,.284,1.7,4.5,.373,.387,0.9,1.4,.660,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,5.7
22,Marvin Bagley III\baglema01,PF,20,SAC,13,6,25.7,6.0,12.8,.467,0.3,1.7,.182,5.7,11.2,.510,.479,1.9,2.4,.806,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2
23,Lonzo Ball\balllo01,PG,22,NOP,57,48,32.4,4.6,11.2,.407,2.4,6.4,.379,2.1,4.8,.445,.516,0.7,1.2,.551,1.1,5.1,6.2,7.0,1.4,0.5,3.1,2.0,12.3
24,Mo Bamba\bambamo01,C,21,ORL,61,0,14.3,2.2,4.7,.463,0.6,1.8,.346,1.6,2.9,.534,.528,0.5,0.8,.674,1.6,3.3,4.9,0.7,0.4,1.4,0.7,1.9,5.4
25,J.J. Barea\bareajo01,PG,35,DAL,26,4,15.0,2.8,6.9,.413,1.1,2.9,.382,1.7,4.0,.437,.494,0.7,0.7,.944,0.4,1.5,1.8,3.8,0.2,0.1,1.3,1.0,7.5
26,Harrison Barnes\barneha02,PF,27,SAC,65,65,34.9,5.1,11.0,.461,1.4,3.8,.384,3.6,7.2,.501,.527,3.0,3.8,.801,1.0,3.9,4.8,2.4,0.6,0.2,1.3,1.3,14.6
27,RJ Barrett\barrerj01,SG,19,NYK,56,55,30.4,5.2,13.0,.402,1.1,3.5,.320,4.1,9.5,.432,.445,2.8,4.5,.614,0.9,4.1,5.0,2.6,1.0,0.3,2.2,2.2,14.3
28,Will Barton\bartowi01,SF,29,DEN,58,58,33.0,5.7,12.7,.450,1.9,5.0,.375,3.9,7.8,.498,.523,1.8,2.3,.767,1.3,5.0,6.3,3.7,1.1,0.5,1.5,2.1,15.1
29,Keita Bates-Diop\bateske01,SF,24,TOT,39,0,17.1,2.3,5.3,.428,0.8,2.4,.330,1.5,2.9,.509,.502,1.3,1.8,.710,0.5,2.3,2.9,0.8,0.4,0.5,0.4,1.0,6.6
29,Keita Bates-Diop\bateske01,SF,24,MIN,37,0,17.5,2.4,5.6,.422,0.8,2.5,.330,1.5,3.0,.500,.498,1.2,1.8,.708,0.6,2.4,3.0,0.8,0.5,0.5,0.4,1.0,6.8
29,Keita Bates-Diop\bateske01,SF,24,DEN,2,0,9.5,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,1.5,2.0,.750,0.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,3.5
30,Nicolas Batum\batumni01,SF,31,CHO,22,3,23.0,1.3,3.7,.346,0.6,2.2,.286,0.6,1.5,.438,.432,0.4,0.5,.900,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9,3.6
31,Aron Baynes\baynear01,C,33,PHO,42,28,22.2,4.4,9.1,.480,1.4,4.0,.351,3.0,5.1,.582,.558,1.3,1.8,.747,1.7,4.0,5.6,1.6,0.2,0.5,1.2,3.4,11.5
32,Kent Bazemore\bazemke01,SF-SG,30,TOT,65,21,25.0,2.9,7.7,.374,1.2,3.6,.342,1.7,4.2,.401,.452,1.7,2.2,.769,0.4,4.0,4.4,1.4,1.1,0.6,1.3,2.8,8.7
32,Kent Bazemore\bazemke01,SF,30,POR,43,21,25.8,2.6,7.6,.347,1.3,4.0,.327,1.3,3.6,.368,.433,1.3,1.7,.806,0.3,3.7,4.0,1.4,1.0,0.7,1.4,2.8,7.9
32,Kent Bazemore\bazemke01,SG,30,SAC,22,0,23.5,3.4,8.0,.424,1.0,2.7,.383,2.4,5.3,.444,.489,2.4,3.2,.732,0.6,4.7,5.3,1.3,1.2,0.4,1.2,2.9,10.2
33,Darius Bazley\bazleda01,PF,19,OKC,53,8,17.2,1.7,4.3,.383,0.6,1.9,.300,1.1,2.5,.446,.448,0.6,0.9,.681,0.4,3.3,3.7,0.5,0.4,0.7,0.8,0.8,4.5
34,Bradley Beal\bealbr01,SG,26,WAS,57,57,36.0,10.4,22.9,.455,3.0,8.4,.353,7.4,14.4,.515,.520,6.8,8.0,.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5
35,Malik Beasley\beaslma01,SG,23,TOT,55,14,22.0,4.1,9.7,.425,1.9,5.0,.388,2.2,4.7,.465,.525,1.0,1.2,.818,0.3,2.4,2.7,1.4,0.7,0.1,1.0,1.4,11.2
35,Malik Beasley\beaslma01,SG,23,DEN,41,0,18.2,2.9,7.3,.389,1.4,3.9,.360,1.4,3.4,.421,.485,0.8,0.9,.868,0.2,1.7,1.9,1.2,0.8,0.1,0.9,1.2,7.9
35,Malik Beasley\beaslma01,SG,23,MIN,14,14,33.1,7.9,16.6,.472,3.5,8.2,.426,4.4,8.4,.517,.577,1.5,2.0,.750,0.6,4.4,5.1,1.9,0.6,0.1,1.5,1.9,20.7
36,Marco Belinelli\belinma01,SG,33,SAS,53,0,15.0,2.0,5.2,.389,1.1,3.0,.363,0.9,2.2,.424,.493,0.7,0.9,.813,0.1,1.6,1.7,1.2,0.2,0.0,0.3,0.8,5.8
37,Jordan Bell\belljo01,C-PF,25,TOT,29,0,8.8,1.2,2.3,.522,0.1,0.4,.333,1.1,1.9,.564,.552,0.7,1.1,.613,1.0,1.8,2.8,0.6,0.1,0.3,0.7,0.7,3.2
37,Jordan Bell\belljo01,C,25,MIN,27,0,8.7,1.2,2.2,.533,0.1,0.3,.222,1.1,1.9,.588,.550,0.6,1.1,.586,1.0,1.9,2.9,0.5,0.1,0.4,0.7,0.6,3.1
37,Jordan Bell\belljo01,PF,25,MEM,2,0,10.5,1.5,3.5,.429,1.0,1.5,.667,0.5,2.0,.250,.571,1.0,1.0,1.000,1.0,0.5,1.5,1.0,0.5,0.0,1.5,1.0,5.0
38,DeAndre' Bembry\bembrde01,SG,25,ATL,43,4,21.3,2.4,5.3,.456,0.3,1.5,.231,2.1,3.8,.546,.489,0.6,1.1,.542,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0,5.8
39,Dragan Bender\bendedr01,SF,22,TOT,16,3,17.9,2.6,5.8,.446,0.9,2.7,.349,1.6,3.1,.531,.527,0.6,0.9,.714,1.0,3.6,4.6,1.8,0.3,0.6,1.3,2.6,6.7
39,Dragan Bender\bendedr01,SF,22,MIL,7,0,13.0,1.4,3.0,.476,0.6,1.3,.444,0.9,1.7,.500,.571,0.3,0.4,.667,0.0,2.9,2.9,1.3,0.0,0.7,0.7,2.3,3.7
39,Dragan Bender\bendedr01,SF,22,GSW,9,3,21.7,3.4,7.9,.437,1.2,3.8,.324,2.2,4.1,.541,.514,0.9,1.2,.727,1.8,4.1,5.9,2.1,0.4,0.4,1.8,2.9,9.0
40,Dāvis Bertāns\bertada01,PF,27,WAS,54,4,29.3,4.9,11.3,.434,3.7,8.7,.424,1.2,2.6,.471,.598,1.9,2.3,.852,0.6,3.9,4.5,1.7,0.7,0.6,1.1,2.6,15.4
41,Patrick Beverley\beverpa01,PG,31,LAC,49,48,26.8,2.9,6.8,.428,1.6,4.1,.383,1.3,2.7,.496,.544,0.6,0.9,.674,1.1,4.2,5.3,3.7,1.1,0.5,1.3,3.1,8.0
42,Khem Birch\birchkh01,C,27,ORL,41,24,19.4,1.4,3.0,.488,0.0,0.0,.000,1.4,2.9,.492,.488,1.1,1.8,.644,1.8,2.7,4.5,1.0,0.4,0.6,0.6,1.9,4.0
43,Goga Bitadze\bitadgo01,C,20,IND,49,2,8.4,1.2,2.6,.473,0.1,0.7,.167,1.1,1.9,.591,.496,0.5,0.7,.727,0.4,1.5,2.0,0.4,0.1,0.7,0.5,1.2,3.1
44,Bismack Biyombo\biyombi01,C,27,CHO,53,29,19.4,2.8,5.2,.543,0.0,0.0,,2.8,5.2,.543,.543,1.7,2.8,.603,2.3,3.5,5.8,0.9,0.2,0.9,0.9,2.2,7.4
45,Nemanja Bjelica\bjeline01,PF,31,SAC,65,62,28.5,4.5,9.4,.477,1.9,4.6,.423,2.6,4.8,.529,.580,0.9,1.1,.824,1.6,4.8,6.4,2.8,0.9,0.5,1.4,3.1,11.9
46,Eric Bledsoe\bledser01,PG,30,MIL,56,56,27.2,5.7,11.8,.482,1.3,3.6,.348,4.4,8.2,.540,.535,2.8,3.4,.813,0.7,3.9,4.6,5.4,0.9,0.4,2.5,2.1,15.4
47,Bogdan Bogdanović\bogdabo01,SG,27,SAC,54,21,28.6,5.3,12.1,.436,2.6,7.2,.366,2.6,4.9,.540,.545,1.4,2.0,.729,0.3,2.9,3.2,3.2,1.0,0.3,1.7,2.2,14.6
48,Bojan Bogdanović\bogdabo02,SF,30,UTA,63,63,33.1,6.6,14.8,.447,3.0,7.3,.414,3.6,7.6,.479,.548,4.0,4.4,.903,0.6,3.5,4.1,2.1,0.5,0.1,2.5,1.7,20.2
49,Jonah Bolden\boldejo01,PF,24,TOT,7,0,6.7,0.6,1.6,.364,0.0,0.6,.000,0.6,1.0,.571,.364,0.3,0.6,.500,0.4,0.9,1.3,0.0,0.4,0.3,0.3,1.4,1.4
49,Jonah Bolden\boldejo01,PF,24,PHI,4,0,3.5,0.5,0.8,.667,0.0,0.3,.000,0.5,0.5,1.000,.667,0.0,0.5,.000,0.0,0.3,0.3,0.0,0.3,0.0,0.5,1.0,1.0
49,Jonah Bolden\boldejo01,PF,24,PHO,3,0,11.0,0.7,2.7,.250,0.0,1.0,.000,0.7,1.7,.400,.250,0.7,0.7,1.000,1.0,1.7,2.7,0.0,0.7,0.7,0.0,2.0,2.0
50,Marques Bolden\boldema01,C,21,CLE,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
51,Jordan Bone\bonejo01,PG,22,DET,10,0,5.3,0.5,2.0,.250,0.2,1.0,.200,0.3,1.0,.300,.300,0.0,0.0,,0.0,0.4,0.4,0.8,0.1,0.0,0.2,0.6,1.2
52,Isaac Bonga\bongais01,SF,20,WAS,59,42,17.8,1.7,3.2,.516,0.4,0.9,.393,1.3,2.3,.567,.574,1.0,1.2,.826,1.1,2.1,3.2,1.1,0.6,0.4,0.7,2.4,4.7
53,Devin Booker\bookede01,SG,23,PHO,63,63,36.1,8.8,18.1,.485,2.0,5.7,.359,6.7,12.4,.542,.541,6.6,7.2,.918,0.4,3.7,4.2,6.5,0.7,0.3,4.0,3.0,26.1
54,Chris Boucher\bouchch01,PF,27,TOR,55,0,13.2,2.2,4.7,.458,0.5,1.8,.283,1.7,2.9,.565,.512,1.5,1.9,.796,1.7,2.7,4.4,0.4,0.4,1.0,0.4,1.9,6.3
55,Brian Bowen\bowenbr02,SG,21,IND,5,1,5.8,0.4,1.8,.222,0.0,0.4,.000,0.4,1.4,.286,.222,0.0,0.0,,0.2,1.2,1.4,0.0,0.0,0.2,0.2,0.4,0.8
56,Ky Bowman\bowmaky01,PG,22,GSW,45,12,22.6,3.0,7.1,.417,0.7,2.4,.308,2.2,4.8,.472,.469,0.8,0.9,.829,0.5,2.2,2.7,2.9,1.0,0.2,1.6,2.3,7.4
57,Avery Bradley\bradlav01,SG,29,LAL,49,44,24.2,3.5,7.8,.444,1.3,3.5,.364,2.2,4.3,.510,.526,0.4,0.5,.833,0.4,2.0,2.3,1.3,0.9,0.1,1.0,2.2,8.6
58,Tony Bradley\bradlto01,C,22,UTA,51,2,10.8,2.1,3.1,.669,0.0,0.0,1.000,2.0,3.1,.667,.672,0.5,0.8,.650,1.8,2.5,4.3,0.3,0.3,0.5,0.5,2.0,4.6
59,Jarrell Brantley\brantja01,PF,23,UTA,5,0,2.6,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.2,0.0,0.4,0.4,0.4,0.0
60,Ignas Brazdeikis\brazdig01,SF,21,NYK,9,0,5.9,0.7,2.4,.273,0.1,1.0,.111,0.6,1.4,.385,.295,0.4,0.6,.800,0.2,0.3,0.6,0.4,0.0,0.1,0.2,0.3,1.9
61,Mikal Bridges\bridgmi01,SF,23,PHO,66,25,27.4,3.2,6.3,.516,0.9,2.5,.348,2.4,3.8,.625,.584,1.4,1.7,.838,0.9,3.1,4.0,1.8,1.4,0.6,1.0,2.2,8.8
62,Miles Bridges\bridgmi02,SF,21,CHO,65,64,30.7,4.9,11.6,.424,1.5,4.6,.330,3.4,7.0,.486,.489,1.6,2.0,.809,1.4,4.2,5.6,1.8,0.6,0.7,1.5,2.0,13.0
63,Oshae Brissett\brissos01,SF,21,TOR,19,0,7.1,0.7,1.9,.361,0.2,0.8,.200,0.5,1.1,.476,.403,0.4,0.5,.800,0.5,0.9,1.4,0.4,0.2,0.1,0.4,0.9,1.9
64,Ryan Broekhoff\broekry01,SG,29,DAL,17,1,10.6,1.3,3.5,.373,1.2,3.0,.392,0.1,0.5,.250,.542,0.4,0.5,.875,0.3,2.2,2.5,0.6,0.3,0.2,0.4,0.9,4.2
65,Malcolm Brogdon\brogdma01,PG,27,IND,48,48,30.7,6.0,13.7,.439,1.3,4.1,.313,4.8,9.7,.491,.485,3.0,3.4,.895,0.8,3.9,4.7,7.1,0.7,0.2,2.4,1.8,16.3
66,Dillon Brooks\brookdi01,SG,24,MEM,66,66,28.6,5.7,14.3,.402,2.0,5.6,.365,3.7,8.7,.425,.473,2.2,2.7,.806,1.0,2.3,3.3,2.0,0.9,0.4,1.7,3.8,15.7
67,Bruce Brown\brownbr01,SG,23,DET,58,43,28.2,3.4,7.7,.443,0.6,1.7,.344,2.8,6.1,.470,.480,1.5,2.1,.739,1.1,3.7,4.7,4.0,1.1,0.5,1.7,2.8,8.9
68,Charlie Brown\brownch02,SG,22,ATL,10,0,4.0,0.6,1.9,.316,0.3,0.9,.333,0.3,1.0,.300,.395,0.5,0.5,1.000,0.2,0.2,0.4,0.2,0.2,0.2,0.3,0.3,2.0
69,Jaylen Brown\brownja02,SF,23,BOS,51,51,34.0,7.5,15.4,.488,2.2,5.7,.378,5.4,9.7,.552,.558,3.3,4.4,.738,1.1,5.2,6.3,2.2,1.1,0.3,2.3,3.1,20.5
70,Moses Brown\brownmo01,C,20,POR,9,0,3.7,0.4,1.1,.400,0.0,0.0,,0.4,1.1,.400,.400,0.3,0.9,.375,0.3,1.2,1.6,0.1,0.1,0.1,0.3,0.8,1.2
71,Sterling Brown\brownst02,SF,24,MIL,46,1,15.0,1.8,4.8,.365,0.8,2.5,.308,1.0,2.3,.429,.446,0.6,0.8,.778,0.6,3.1,3.7,1.0,0.5,0.2,0.8,1.0,4.9
72,Troy Brown Jr.\browntr01,SG,20,WAS,62,15,24.9,3.8,8.3,.455,0.8,2.4,.340,3.0,6.0,.500,.503,1.4,1.9,.761,1.0,4.2,5.3,2.3,1.2,0.1,1.0,1.8,9.8
73,Jalen Brunson\brunsja01,PG,23,DAL,57,16,17.9,3.2,6.8,.466,0.8,2.1,.358,2.4,4.7,.515,.522,1.1,1.3,.813,0.4,2.0,2.4,3.3,0.4,0.1,1.2,1.3,8.2
74,Thomas Bryant\bryanth01,C,22,WAS,39,29,23.9,4.8,8.2,.589,0.6,1.5,.397,4.2,6.7,.632,.625,1.8,2.5,.732,1.9,4.9,6.8,1.9,0.4,0.8,1.2,2.2,12.1
75,Reggie Bullock\bullore01,SG,28,NYK,29,19,23.6,3.1,7.7,.402,1.3,3.8,.333,1.8,3.9,.469,.484,0.6,0.7,.810,0.4,1.9,2.3,1.4,0.9,0.1,0.7,1.9,8.1
76,Trey Burke\burketr01,PG,27,TOT,26,0,13.8,2.7,5.5,.490,0.9,1.8,.500,1.8,3.7,.484,.573,0.5,0.8,.700,0.6,0.8,1.4,2.3,0.3,0.0,0.5,0.9,6.8
76,Trey Burke\burketr01,PG,27,PHI,25,0,13.2,2.4,5.1,.465,0.6,1.5,.421,1.7,3.6,.483,.528,0.5,0.7,.722,0.6,0.8,1.4,2.1,0.3,0.0,0.5,0.8,5.9
76,Trey Burke\burketr01,G,27,DAL,1,0,30.0,11.0,16.0,.688,8.0,10.0,.800,3.0,6.0,.500,.938,1.0,2.0,.500,0.0,1.0,1.0,6.0,1.0,0.0,0.0,2.0,31.0
77,Alec Burks\burksal01,SG,28,TOT,59,18,27.3,4.8,11.9,.404,1.7,4.6,.366,3.1,7.3,.428,.475,3.8,4.3,.896,0.7,3.7,4.4,2.9,1.0,0.3,1.4,2.0,15.1
77,Alec Burks\burksal01,SG,28,GSW,48,18,29.0,5.1,12.5,.406,1.8,4.7,.375,3.3,7.9,.424,.476,4.2,4.7,.897,0.8,3.9,4.7,3.1,1.0,0.4,1.6,2.2,16.1
77,Alec Burks\burksal01,SG,28,PHI,11,0,20.2,3.5,9.1,.390,1.5,4.5,.327,2.1,4.6,.451,.470,2.2,2.5,.889,0.5,2.7,3.3,1.8,0.7,0.0,0.8,1.2,10.7
78,Deonte Burton\burtode02,SG,26,OKC,34,0,8.4,1.1,3.1,.371,0.3,1.4,.217,0.9,1.7,.492,.419,0.2,0.4,.500,0.2,1.2,1.4,0.3,0.1,0.3,0.4,0.8,2.8
79,Jimmy Butler\butleji01,SF,30,MIA,54,54,34.3,6.1,13.4,.454,0.5,2.2,.248,5.5,11.2,.494,.474,7.6,9.1,.833,1.8,4.8,6.6,6.1,1.7,0.5,2.2,1.4,20.2
80,Bruno Caboclo\cabocbr01,SF,24,TOT,27,0,8.1,1.2,2.9,.416,0.1,1.0,.143,1.0,1.8,.571,.442,0.1,0.2,.800,0.8,1.1,2.0,0.4,0.4,0.6,0.3,0.9,2.7
80,Bruno Caboclo\cabocbr01,SF,24,MEM,22,0,8.7,1.3,3.1,.406,0.2,1.1,.160,1.1,2.0,.545,.435,0.1,0.1,.667,0.8,1.2,2.0,0.5,0.5,0.5,0.3,1.0,2.8
80,Bruno Caboclo\cabocbr01,SF,24,HOU,5,0,5.6,0.8,1.6,.500,0.0,0.6,.000,0.8,1.0,.800,.500,0.4,0.4,1.000,1.0,0.8,1.8,0.4,0.4,0.8,0.4,0.4,2.0
81,Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,64,21,25.5,3.5,7.4,.468,1.4,3.5,.388,2.1,3.9,.540,.560,1.2,1.5,.776,0.6,1.5,2.1,1.7,0.8,0.2,0.9,1.9,9.5
82,Vlatko Čančar\cancavl01,SF,22,DEN,14,0,3.2,0.4,1.1,.400,0.1,0.4,.167,0.4,0.6,.556,.433,0.3,0.3,1.000,0.4,0.4,0.7,0.2,0.1,0.1,0.2,0.5,1.2
83,Clint Capela\capelca01,C,25,HOU,39,39,32.8,6.3,9.9,.629,0.0,0.0,,6.3,9.9,.629,.629,1.4,2.7,.529,4.3,9.5,13.8,1.2,0.8,1.8,1.6,2.6,13.9
84,DeMarre Carroll\carrode01,SF,33,TOT,21,0,11.0,1.0,2.6,.389,0.3,1.3,.259,0.7,1.3,.519,.454,1.1,1.7,.667,0.5,1.7,2.2,0.9,0.2,0.2,0.8,1.3,3.5
84,DeMarre Carroll\carrode01,SF,33,SAS,15,0,9.0,0.6,1.9,.310,0.2,0.9,.231,0.4,1.1,.375,.362,0.8,1.3,.600,0.5,1.6,2.1,0.7,0.1,0.1,0.7,1.3,2.2
84,DeMarre Carroll\carrode01,SF,33,HOU,6,0,16.0,2.0,4.2,.480,0.7,2.3,.286,1.3,1.8,.727,.560,2.0,2.7,.750,0.7,2.0,2.7,1.2,0.3,0.3,1.0,1.3,6.7
85,Jevon Carter\carteje01,PG,24,PHO,51,2,15.3,1.6,4.1,.400,0.9,2.4,.388,0.7,1.7,.416,.512,0.5,0.5,.852,0.5,1.5,2.0,1.3,0.8,0.3,0.6,1.5,4.7
86,Vince Carter\cartevi01,SF,43,ATL,60,0,14.6,1.8,5.1,.352,1.0,3.4,.302,0.8,1.7,.451,.452,0.4,0.5,.793,0.3,1.8,2.1,0.8,0.4,0.4,0.6,1.5,5.0
87,Wendell Carter Jr.\cartewe01,C,20,CHI,43,43,29.2,4.3,8.0,.534,0.1,0.7,.207,4.1,7.3,.564,.542,2.6,3.5,.737,3.2,6.2,9.4,1.2,0.8,0.8,1.7,3.8,11.3
88,Michael Carter-Williams\cartemi01,SG,28,ORL,43,0,18.5,2.5,5.8,.426,0.5,1.7,.296,2.0,4.2,.478,.468,1.7,2.0,.830,1.0,2.2,3.3,2.4,1.1,0.5,1.1,2.0,7.2
89,Alex Caruso\carusal01,PG,25,LAL,59,1,18.0,1.9,4.5,.419,0.6,1.8,.349,1.3,2.7,.468,.491,1.0,1.4,.744,0.3,1.7,2.0,1.8,1.0,0.3,0.8,1.5,5.5
90,Willie Cauley-Stein\caulewi01,C,26,TOT,54,39,20.3,3.2,5.6,.579,0.0,0.0,.000,3.2,5.6,.581,.579,0.7,1.2,.606,1.6,4.3,5.8,1.3,0.9,1.1,0.7,2.2,7.2
90,Willie Cauley-Stein\caulewi01,C,26,GSW,41,37,22.9,3.5,6.3,.560,0.0,0.0,,3.5,6.3,.560,.560,0.9,1.4,.614,1.7,4.5,6.2,1.5,1.1,1.2,0.9,2.5,7.9
90,Willie Cauley-Stein\caulewi01,C,26,DAL,13,2,12.1,2.4,3.5,.689,0.0,0.1,.000,2.4,3.4,.705,.689,0.4,0.7,.556,1.0,3.6,4.6,0.8,0.3,0.8,0.4,1.5,5.2
91,Tyson Chandler\chandty01,C,37,HOU,26,5,8.4,0.5,0.7,.778,0.0,0.0,,0.5,0.7,.778,.778,0.2,0.5,.462,1.0,1.6,2.5,0.2,0.2,0.3,0.3,1.2,1.3
92,Wilson Chandler\chandwi01,SF,32,BRK,35,3,21.0,2.1,5.2,.404,1.1,3.5,.306,1.1,1.8,.597,.505,0.6,0.7,.870,0.3,3.8,4.1,1.1,0.5,0.3,1.0,2.3,5.9
93,Joe Chealey\chealjo01,PG,24,CHO,4,0,8.3,0.0,1.8,.000,0.0,1.0,.000,0.0,0.8,.000,.000,0.5,0.5,1.000,0.0,0.0,0.0,0.3,1.0,0.0,0.5,0.5,0.5
94,Zylan Cheatham\cheatzy01,SF,24,NOP,3,0,10.3,0.7,1.7,.400,0.0,0.3,.000,0.7,1.3,.500,.400,0.0,0.0,,0.3,1.7,2.0,0.7,0.0,0.3,1.0,1.7,1.3
