Player,Pos,G,MP,FGM,FGA,FG%,FTM,FTA,FT%,3PT,REB,AST,STL,BLK,TOV,PTS
Mitchell Robinson,C,64,26.2,4.4,6.1,0.722,1.6,2.7,0.584,0,8.1,0.7,1,2.6,0.7,10.4
Gordon Hayward,SF,60,34.5,7.7,15.7,0.489,3.8,4.5,0.837,1.9,6.4,4.3,0.9,0.4,1.9,21.1
Kristaps Porzingis,"PF, C",54,33.9,7.6,17.8,0.427,4.1,5.2,0.78,2.5,9.4,1.7,0.8,2.3,1.8,21.8
Malcolm Brogdon,"PG, SG",61,35,6.9,15.3,0.448,3.3,3.7,0.899,1.5,5.3,7.4,0.8,0.2,2.6,18.6
Robert Covington,"PF, SF",67,32.4,5.1,11.9,0.431,1.9,2.3,0.805,2.7,6.7,1.3,1.7,1.3,1.6,14.8
Draymond Green,PF,64,32.4,3.4,7.8,0.441,1.5,2,0.742,1,7.4,7.1,1.5,1,2.7,9.3
Steven Adams,C,68,31.1,5.5,9.1,0.6,1.9,3.5,0.55,0,9.6,2,1.2,1.1,1.6,12.8
Jonas Valanciunas,C,63,27.5,6.5,11.3,0.579,2.2,2.9,0.744,0.5,11.6,1.8,0.4,1.2,1.8,15.7
Hassan Whiteside,C,62,25.4,5.7,9.6,0.593,2,3.3,0.611,0,11.8,1,0.5,2.3,1.6,13.4
John Wall,PG,57,31.2,6.8,15.4,0.439,3.9,5.3,0.738,1.3,3.4,8.5,1.4,0.8,3.5,18.7
Clint Capela,C,64,30.8,6.3,9.8,0.641,1.9,3.2,0.586,0,9.5,1.2,0.7,1.7,1.4,14.4
Christian Wood,"C, PF",63,30.2,6.5,11.6,0.558,4.2,5.6,0.751,1.2,9,1.4,0.7,1.2,1.9,18.3
Montrezl Harrell,"C, PF",68,26.3,6.9,11.6,0.598,3.3,5.1,0.649,0,6.6,1.7,0.7,1.2,1.6,17.2
Dennis Schroder,PG,68,30.4,6.7,15,0.445,2.8,3.4,0.835,1.7,3.6,6,0.8,0.2,2.4,17.9
Al Horford,"PF, C",65,30.7,5.2,10.9,0.477,1.1,1.4,0.78,1.3,7,4.2,0.8,1.1,1.4,12.8
Delon Wright,"SG, PG",65,31.2,5,11.1,0.455,2.5,3.2,0.793,1.3,5.2,4.7,1.6,0.5,1.5,13.9
Devonte' Graham,PG,65,33.6,5.6,14.4,0.39,2.9,3.6,0.816,3.2,3.3,7.2,0.9,0.2,2.7,17.4
LaMarcus Aldridge,"PF, C",61,30.5,7.4,14.6,0.508,3.4,4.1,0.84,0.6,7.6,2.2,0.5,1.3,1.4,18.8
Lonzo Ball,PG,62,32.9,4.5,11,0.412,0.6,1.2,0.538,2.2,6.2,6.8,1.5,0.6,2.8,11.9
Jerami Grant,"SF, PF",67,33.7,5.7,11.6,0.488,2.7,3.8,0.715,1.7,7,1.3,0.8,1.2,1,15.7
Victor Oladipo,SG,60,31.3,7,16,0.438,3.2,4.1,0.768,1.9,4.8,4.3,1.7,0.5,2.5,19.1
Julius Randle,PF,63,33.1,7.5,15.9,0.473,4.3,5.9,0.726,1,9.8,3.2,0.8,0.4,3.1,20.3
Mike Conley,PG,59,31.5,6.5,15.3,0.422,4.1,4.9,0.827,2.3,3.3,6.2,1.1,0.2,1.9,19.3
Eric Bledsoe,PG,63,28.4,5.9,12.2,0.481,2.7,3.4,0.789,1.4,4.5,5.3,1.3,0.4,2.4,15.9
LaMelo Ball,PG,66,29.9,5.5,13.1,0.418,2.6,3.6,0.728,2.1,4,6.3,1.1,0.4,2.8,15.7
Lou Williams,SG,66,29,6.4,15.2,0.423,5.1,5.9,0.871,1.8,2.9,5.5,0.8,0.2,2.7,19.8
Ricky Rubio,PG,63,30.2,4.4,10.8,0.412,2.9,3.4,0.85,1.2,4.3,7.4,1.5,0.2,2.7,13
Josh Richardson,"SG, SF",66,33.4,6,14,0.426,2.7,3.3,0.831,2.1,3.6,3.5,1.1,0.7,1.8,16.8
Michael Porter Jr.,"SF, PF",62,27.6,6.3,12.8,0.49,2.6,3.3,0.797,2.2,7.2,1.5,0.8,0.8,1.5,17.4
Tyrese Haliburton,PG,66,28.7,4.3,9.7,0.44,1.9,2.3,0.83,1.8,4.9,5.4,1.4,0.4,2.5,12.3
Buddy Hield,SG,68,28.9,6.5,14.8,0.437,1.6,1.8,0.866,3.2,4.4,2.6,0.9,0.3,2,17.7
Kemba Walker,PG,56,30.2,7.1,16.5,0.429,3.9,4.5,0.857,2.9,3.6,4.9,1,0.4,2.1,20.9
Donte DiVincenzo,"SG, PG",65,29.2,4.4,9.6,0.46,1.2,1.6,0.769,2.1,6.1,2.9,1.7,0.4,1.5,12.2
Mason Plumlee,C,63,28.2,4.5,7.5,0.605,2,3.8,0.53,0,8.5,3.7,1,1.2,2.1,11.1
Aaron Gordon,PF,60,33.3,6.3,14.3,0.439,2.9,4.1,0.695,1.6,7.6,3.5,0.8,0.7,1.8,17
Dejounte Murray,"PG, SG",64,27.5,4.7,10,0.466,1.5,1.9,0.765,0.5,6.6,4.3,1.8,0.4,2.1,11.3
Jaylen Brown,"SG, SF",60,34.4,7.4,15.2,0.485,3,4.2,0.718,2.1,6.2,2.1,1.1,0.4,2.2,19.8
Caris LeVert,"SG, SF",63,31.4,6.4,15.2,0.422,2.8,4,0.71,1.7,4.4,4.6,1.3,0.3,2.5,17.4
Tyler Herro,SG,65,31.5,6.4,14.8,0.431,1.7,2,0.854,2.9,4.6,3.1,0.9,0.2,1.8,17.3
Markelle Fultz,PG,63,31.7,5.7,11.8,0.48,1.9,2.5,0.743,0.6,3.8,5.8,1.4,0.2,2.3,13.8
Myles Turner,C,60,29.7,4.7,10.1,0.467,2.1,2.8,0.75,1.2,6.9,1.3,0.8,2.3,1.3,12.7
Andrew Wiggins,"SF, SG",67,33.8,6.4,14.2,0.452,3.2,4.3,0.746,1.6,4.7,2.8,0.9,0.8,2,17.6
Jaren Jackson Jr.,"PF, C",58,29.6,6.3,13.4,0.473,2.5,3.3,0.747,2.4,5,1.4,0.8,1.7,1.8,17.6
Brook Lopez,C,66,26.8,4.3,9.7,0.444,1.5,1.9,0.797,1.7,4.5,1.5,0.6,2.2,1.1,11.8
Marcus Smart,"SG, PG",62,32.4,4.2,10.9,0.386,1.9,2.3,0.813,2.2,3.7,4.9,1.7,0.5,1.8,12.5
Danilo Gallinari,"PF, SF",60,31.2,6,13.5,0.446,4.8,5.3,0.896,2.7,5.8,2.3,0.7,0.2,1.4,19.5
Brandon Clarke,PF,63,24.9,5.7,9.3,0.609,1.7,2.1,0.794,0.5,6.7,1.6,0.6,1,1.1,13.5
Obi Toppin,PF,67,30.8,5,10.1,0.499,3.5,4.9,0.71,1.4,6.1,1.7,0.8,1.1,2.1,14.9
Lauri Markkanen,PF,60,33.9,6.2,14.4,0.428,3,3.5,0.843,2.4,8.1,1.6,0.8,0.6,1.7,17.7
Collin Sexton,"SG, PG",66,34.5,7.7,16.9,0.454,3.4,4,0.845,1.6,3.2,3.1,0.9,0.1,2.5,20.3
Evan Fournier,SG,65,31.7,6.3,13.8,0.457,2.4,2.9,0.822,2.4,2.9,3.3,1,0.2,1.9,17.4
Ivica Zubac,C,68,23.8,4.3,7.2,0.592,2.2,2.9,0.761,0,9.2,1.4,0.3,1.2,1.1,10.7
Joe Ingles,SF,68,30.7,3.8,8.6,0.446,1,1.3,0.747,2.1,4,5.3,1,0.2,2.1,10.8
Spencer Dinwiddie,"PG, SG",65,27.1,5.2,12.5,0.418,4.2,5.3,0.787,1.7,2.8,5.5,0.6,0.3,2.1,16.3
Kevin Love,PF,56,30.3,5.7,12.8,0.444,3.6,4.2,0.867,2.5,9.8,2.7,0.6,0.3,2.2,17.5
Richaun Holmes,"C, PF",63,25.2,4.7,7.3,0.646,1.9,2.4,0.787,0,7.3,1,0.9,1.3,1.1,11.3
Otto Porter Jr.,SF,55,32.5,5.9,12.4,0.472,1.6,2,0.791,2,6,2.3,1.5,0.6,1.1,15.3
Serge Ibaka,"C, PF",63,27.3,6.1,11.8,0.517,1.7,2.2,0.758,1.1,7.8,1.3,0.4,1.1,1.7,14.9
Coby White,PG,67,31.5,6,14.9,0.405,1.9,2.4,0.808,2.6,4.3,3.3,0.9,0.1,1.9,16.6
Jarrett Allen,C,64,26.2,4.3,6.9,0.618,2.3,3.5,0.67,0,8.9,1.3,0.5,1.4,1.2,10.9
Rui Hachimura,"PF, SF",65,33.3,6.1,12.6,0.482,2.5,3,0.831,0.6,6.7,1.9,1,0.1,1.1,15.3
Miles Bridges,"SF, PF",70,31.7,4.9,11.2,0.439,1.5,1.9,0.797,1.5,5.8,1.8,0.8,0.8,1.3,12.8
Thomas Bryant,C,59,28.5,5.4,9.7,0.561,2.2,2.9,0.76,0.6,8.2,2.2,0.4,1.1,1.5,13.7
Mikal Bridges,SF,69,31.6,3.6,7.3,0.486,1.5,1.8,0.837,1.2,4.1,2.1,1.7,0.6,1,9.8
Kendrick Nunn,SG,65,30.4,6.3,14,0.451,1.3,1.5,0.841,2.2,2.8,3.5,0.9,0.2,1.7,16
Terry Rozier,"PG, SG",67,29.7,5.2,12.5,0.414,2.2,2.5,0.866,2.2,4.1,3.6,0.9,0.2,1.8,14.8
DeMarcus Cousins,C,50,26.1,5.6,11.8,0.475,3.6,4.8,0.742,1,8.8,3.7,1.3,1.3,3,15.8
PJ Washington,PF,65,32.4,5,10.7,0.466,1.7,2.5,0.671,1.6,5.8,2.3,0.9,0.8,1.7,13.2
Malik Beasley,SG,66,28.3,5.6,12.2,0.457,1.2,1.5,0.818,3.3,3.4,1.7,0.9,0.2,1.2,15.6
Bojan Bogdanovic,"SF, PF",64,32.7,6.4,13.7,0.468,3.4,3.9,0.865,2.5,4.1,2,0.7,0.1,2,18.7
Derrick Rose,PG,57,26.6,7.2,14.9,0.485,2.5,2.9,0.865,0.9,2.5,5,0.7,0.3,2.2,17.9
Killian Hayes,PG,65,27.7,4.4,10.5,0.423,2,2.2,0.888,1.7,3.2,5.1,1.1,0.3,2.5,12.5
Elfrid Payton,PG,56,28.5,4.5,10,0.452,1.3,2,0.634,0.5,4.8,7.1,1.3,0.4,2.4,10.8
Blake Griffin,PF,49,33.2,7.3,16.8,0.435,5,6.5,0.763,2.2,6.8,4.9,0.6,0.4,3,21.7
Larry Nance Jr.,"PF, C",63,25.6,3.9,7.3,0.531,1.1,1.6,0.694,0.7,7.6,2.3,1.2,0.5,1.1,9.5
Bogdan Bogdanovic,"SG, SF",65,29.1,5.2,12.1,0.43,1.6,2.1,0.784,2.3,3.3,3.5,1,0.2,1.7,14.3
Kevin Huerter,SG,61,33.7,4.8,11.4,0.421,0.9,1.1,0.805,2.4,4.3,3.8,1,0.5,1.7,12.9
James Wiseman,C,64,27.9,4.8,9.1,0.524,2.6,3.7,0.709,0,7.1,1.1,0.7,1.4,1.4,12.2
Marvin Bagley III,PF,57,28.1,6.5,13.1,0.5,3.1,4.1,0.753,0.6,8.4,1,0.6,1,1.7,16.7
Davis Bertans,PF,65,27.2,4.5,10.2,0.437,1.6,1.9,0.858,3.3,4.3,1.6,0.6,0.6,1,13.9
DeAndre Jordan,C,61,25.2,3.8,5.8,0.653,2,2.9,0.673,0,11.5,1.9,0.4,0.9,1.6,9.5
Anthony Edwards,SG,66,31.2,4.9,11.7,0.421,3.9,5.1,0.764,1.5,4.2,2.3,1.1,0.6,1.9,15.2
Dillon Brooks,"SG, SF",67,31,6.1,15.1,0.403,2.3,2.9,0.803,2.1,3.6,2.1,1,0.4,1.8,16.6
Derrick White,"PG, SG",65,26.2,3.8,8.2,0.463,2.5,2.9,0.849,1,3.5,3.7,0.7,0.9,1.3,11
Aron Baynes,C,62,28.7,4.8,10,0.482,1.6,2.1,0.776,1.2,7.9,2,0.4,0.9,1.5,12.4
Tomas Satoransky,"PG, SG",68,27.3,3.4,7.4,0.459,1.5,1.8,0.842,0.9,3.6,5.1,1.1,0.1,1.7,9.2
Wendell Carter Jr.,C,58,30.7,4.6,9,0.511,2.6,3.5,0.754,0.2,9.5,1.5,0.8,1.1,1.8,12.1
RJ Barrett,"SG, SF",65,32.4,5.8,13.8,0.421,3.3,4.8,0.692,1.2,5.3,2.7,1,0.3,2.3,16.2
Jordan Clarkson,SG,68,25.2,5.9,12.9,0.457,1.9,2.3,0.831,1.9,2.9,2.2,0.7,0.2,1.5,15.6
Goran Dragic,PG,55,30.8,5.9,13.5,0.438,3.1,4,0.777,2.1,3.5,5.3,0.7,0.2,2.4,17
Derrick Favors,"C, PF",63,22.5,4.2,7.1,0.592,1.3,2.1,0.642,0.1,7.7,1.3,0.6,1.1,1,9.9
Patrick Williams,SF,64,27.6,3.8,7.9,0.477,1.3,1.8,0.738,1.2,5.1,1.7,1.2,0.9,1.1,10
Harrison Barnes,"SF, PF",68,31.4,5.1,11.6,0.442,2.9,3.5,0.815,1.6,4.6,1.9,0.6,0.2,1.2,14.7
Tim Hardaway Jr.,"SG, SF",64,30.1,5.8,13.7,0.42,2.5,3.1,0.822,2.7,3.3,2.2,0.7,0.1,1.3,16.7
Jae Crowder,"PF, SF",67,29.4,3.8,9.7,0.392,1.8,2.3,0.766,2,5.4,2.1,1,0.4,1.1,11.4
Willie Cauley-Stein,C,63,23.2,4.1,7.4,0.549,1.3,2.2,0.584,0,6.6,1.8,1,0.9,0.9,9.4
Terrence Ross,"SG, SF",66,26.9,5.1,12.2,0.415,1.9,2.2,0.847,2.5,3.3,1.4,1,0.3,1,14.5
Daniel Theis,"C, PF",62,23.6,3.6,6.5,0.561,1.4,1.8,0.753,0.4,6.5,1.6,0.6,1.3,0.9,9.1
Darius Garland,PG,65,33.3,5.9,14.3,0.415,2,2.2,0.888,2.3,2,4.2,0.8,0.1,2.8,16.1
Joe Harris,"SG, SF",63,30.9,5.1,10.6,0.482,1.2,1.5,0.794,2.4,4.2,2.2,0.6,0.3,1.5,13.8
Jeremy Lamb,"SG, SF",60,27.9,4.9,10.9,0.45,2.2,2.6,0.853,1.2,4.6,2.1,1.1,0.5,1.1,13.3
Mo Bamba,C,64,21,3.2,6.8,0.471,0.8,1.3,0.649,0.8,6.9,1,0.4,2,1.1,8
Troy Brown Jr.,SF,64,27.2,4.1,9,0.451,1.4,1.9,0.74,0.9,5.7,2.6,1.3,0.1,1.1,10.4
Will Barton,"SF, SG",60,29,4.9,11.2,0.435,1.7,2.2,0.788,1.7,4.7,3.3,0.7,0.5,1.6,13.1
Marc Gasol,C,57,25.9,3.7,8.6,0.432,1.8,2.3,0.778,1.2,6.4,3.5,0.8,0.9,1.6,10.4
Monte Morris,PG,67,23.7,4,8.3,0.478,0.8,1,0.806,1,2.1,3.8,0.9,0.2,0.7,9.8
Nemanja Bjelica,PF,66,24.3,3.8,7.9,0.476,0.8,1,0.803,1.5,5.6,2.2,0.7,0.5,1.2,9.9
Thaddeus Young,"PF, SF",69,24.1,4.1,8.5,0.483,0.7,1.1,0.619,0.8,4.9,1.8,1.3,0.3,1.3,9.7
Ish Smith,PG,65,24.9,4.3,9.5,0.45,0.8,1.2,0.705,0.8,2.9,4.4,0.8,0.3,1.2,10.2
Taurean Prince,"SF, PF",63,30.1,4.8,11.8,0.404,1.5,1.8,0.811,2.3,5.3,2.1,1,0.4,2.1,13.3
Cedi Osman,SF,65,32.1,4.6,10.4,0.438,1.3,1.8,0.709,2,4.1,2.6,0.9,0.2,1.5,12.3
OG Anunoby,SF,66,29,4,8.1,0.488,0.8,1.3,0.653,1.3,4.8,1.3,1.2,0.5,1.1,10.1
Seth Curry,"SG, PG",65,27.7,4.8,9.8,0.487,1.3,1.5,0.841,2.5,2.6,1.9,0.7,0.2,1.2,13.3
Duncan Robinson,"SG, SF",65,29.5,4.3,9.2,0.468,0.7,0.8,0.885,3.6,3.2,1.4,0.5,0.2,0.9,12.9
Deni Avdija,SF,65,27.1,4,8.9,0.448,2.6,3.4,0.774,1.1,4.5,2.3,0.8,0.7,1.7,11.7
Chris Boucher,"PF, C",60,19.6,3.4,7.3,0.459,2.2,2.7,0.802,0.8,6.6,0.6,0.6,1.6,0.7,9.7
Nerlens Noel,C,60,19.3,3.1,4.9,0.639,1.3,1.7,0.745,0,5.5,0.9,1.1,1.6,1,7.5
Paul Millsap,"PF, C",61,23.5,4,8.4,0.482,2.3,3,0.77,0.8,5.8,1.7,0.9,0.7,1.3,11.2
Dewayne Dedmon,C,61,23.9,3.6,7.7,0.464,1.1,1.4,0.82,0.9,7.4,1.1,0.9,1.1,1.4,9.2
JaVale McGee,C,64,17.6,3.7,5.8,0.633,1,1.5,0.646,0,6,0.6,0.5,1.6,1,8.3
Jarrett Culver,"SG, SF",66,26.7,4.3,10,0.435,1.4,2.1,0.649,1.3,3.8,1.9,1,0.7,1.4,11.4
Devin Vassell,SG,65,24.9,3.6,7.9,0.45,1.6,2.2,0.734,1.7,4.1,1.9,0.9,0.7,1.4,10.4
Justin Holiday,"SG, SF",66,28.3,3.4,8.3,0.405,1.1,1.3,0.828,2,3.6,1.6,1.3,0.5,1,9.8
Rudy Gay,PF,63,23.2,4.4,9.3,0.469,1.8,2.1,0.839,1,5.8,2,0.6,0.5,1.4,11.5
Aaron Nesmith,SF,66,24.2,4.1,9.2,0.441,1.2,1.3,0.886,2.6,2.9,2.1,0.7,0.4,1.4,11.9
Isaac Okoro,SF,66,26.9,3.6,7.7,0.466,1.3,1.9,0.71,0.9,4.8,1.6,0.9,0.7,0.9,9.5
Norman Powell,"SG, SF",63,25.1,4.7,9.6,0.484,1.7,2.1,0.831,1.7,3.1,1.8,1,0.3,1.4,12.7
JJ Redick,SG,62,26.7,4.8,10.8,0.447,2.7,3,0.898,2.8,2.4,2.1,0.4,0.2,1.2,15.2
P.J. Tucker,"SF, PF",68,33.2,2.5,6,0.414,0.5,0.7,0.777,1.6,6.3,1.3,1.2,0.4,0.9,7.1
Enes Kanter,C,58,21.4,4.6,8.2,0.566,1.8,2.3,0.772,0.1,9,1.3,0.4,0.6,1.4,11.1
Cody Zeller,C,62,23.4,4,7.6,0.531,2.1,3,0.71,0.2,6.8,1.6,0.7,0.6,1.3,10.4
Dwight Howard,C,64,20.1,3.3,4.7,0.698,1.6,3.2,0.508,0.1,7.8,0.7,0.5,1.2,1.3,8.3
Moritz Wagner,"C, PF",64,22.6,4,7.7,0.515,2.1,2.6,0.823,0.9,5.7,1.5,0.7,0.6,1.8,11
Eric Gordon,SG,58,32.1,5.7,14.2,0.399,2.3,2.9,0.779,3.2,2.3,1.9,0.7,0.4,1.4,16.8
Patrick Beverley,PG,58,27.4,2.7,6.6,0.415,0.9,1.2,0.733,1.5,5.2,3.8,1,0.5,1.3,7.8
Alec Burks,SG,58,27.4,4.1,10.1,0.415,3,3.4,0.733,1.5,5.2,3.8,1,0.5,1.3,7.8
Matisse Thybulle,SF,64,24.7,3.1,7.3,0.422,0.8,1.2,0.638,1.4,1.9,1.6,1.7,0.9,1,8.3
Kentavious Caldwell-Pope,"SG, SF",68,26.5,3.8,8.6,0.446,1.5,1.8,0.817,1.7,2.9,1.6,1,0.2,0.9,10.8
Rajon Rondo,PG,57,24.3,3.3,7.8,0.423,0.5,0.8,0.636,0.9,3.8,6.5,1,0.1,2.2,8
Marcus Morris Sr.,"PF, SF",66,24.3,4.5,10.3,0.435,2.2,2.6,0.828,1.8,4.5,1.1,0.6,0.3,1.2,12.9
Trevor Ariza,SF,65,27.5,3,7.3,0.413,1.2,1.5,0.821,1.6,4.3,2.1,1.2,0.2,1,8.9
Onyeka Okongwu,C,63,22.7,3.9,7.1,0.548,1.4,1.9,0.735,0.4,4.9,1.3,0.8,1.1,1.7,9.5
James Johnson,"PF, SF",57,24.7,3.8,8.1,0.47,1.2,1.8,0.682,1.1,4.3,3.1,0.9,0.9,1.8,9.9
Gary Harris,SG,60,30.1,4.4,10.2,0.435,1.6,2,0.817,1.4,2.7,2.2,1.3,0.3,1.2,11.9
Dwight Powell,C,61,23.4,3.6,5.9,0.611,2.1,2.9,0.724,0.4,5.5,1.4,0.7,0.6,0.9,9.7
Dario Saric,PF,65,25,3.8,8.3,0.452,1.4,1.7,0.842,1.3,5.9,1.9,0.6,0.2,1.3,10.2
Carmelo Anthony,"PF, SF",63,28.2,5,12.1,0.416,1.9,2.3,0.814,1.5,5.4,1.2,0.6,0.4,1.4,13.4
Nicolas Batum,"SF, SG",58,29,3,7,0.424,1,1.2,0.862,1.3,4.9,3.7,0.9,0.5,1.5,8.3
Trey Burke,PG,63,21.7,4.5,10,0.452,1.5,1.9,0.785,1.1,2,3.5,0.6,0.1,0.9,11.6
Bobby Portis,"PF, C",62,22.5,4.6,10.2,0.451,1.3,1.7,0.778,1.1,6.2,1.5,0.6,0.3,1.3,11.7
Josh Hart,SG,64,26.2,3.2,7.6,0.419,1,1.4,0.725,1.7,5.2,1.5,1,0.4,1,9
