Player,Pos,G,MP,FG,FGA,FG%,3P,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS
Mo Bamba,C,61,14.3,2.2,4.7,0.46299999999999997,0.6,0.5,0.8,0.674,4.9,0.7,0.4,1.4,0.7,5.4
J.J. Barea,PG,26,15.0,2.8,6.9,0.413,1.1,0.7,0.7,0.9440000000000001,1.8,3.8,0.2,0.1,1.3,7.5
Harrison Barnes,PF,65,34.9,5.1,11.0,0.461,1.4,3.0,3.8,0.8009999999999999,4.8,2.4,0.6,0.2,1.3,14.6
RJ Barrett,SG,56,30.4,5.2,13.0,0.402,1.1,2.8,4.5,0.614,5.0,2.6,1.0,0.3,2.2,14.3
Will Barton,SF,58,33.0,5.7,12.7,0.45,1.9,1.8,2.3,0.767,6.3,3.7,1.1,0.5,1.5,15.1
Keita Bates-Diop,SF,39,17.1,2.3,5.3,0.428,0.8,1.3,1.8,0.71,2.9,0.8,0.4,0.5,0.4,6.6
Nicolas Batum,SF,22,23.0,1.3,3.7,0.34600000000000003,0.6,0.4,0.5,0.9,4.5,3.0,0.8,0.4,1.0,3.6
Aron Baynes,C,42,22.2,4.4,9.1,0.48,1.4,1.3,1.8,0.747,5.6,1.6,0.2,0.5,1.2,11.5
Kent Bazemore,SF-SG,65,25.0,2.9,7.7,0.374,1.2,1.7,2.2,0.769,4.4,1.4,1.1,0.6,1.3,8.7
Darius Bazley,PF,53,17.2,1.7,4.3,0.38299999999999995,0.6,0.6,0.9,0.6809999999999999,3.7,0.5,0.4,0.7,0.8,4.5
Bradley Beal,SG,57,36.0,10.4,22.9,0.455,3.0,6.8,8.0,0.8420000000000001,4.2,6.1,1.2,0.4,3.4,30.5
Malik Beasley,SG,55,22.0,4.1,9.7,0.425,1.9,1.0,1.2,0.818,2.7,1.4,0.7,0.1,1.0,11.2
Marco Belinelli,SG,53,15.0,2.0,5.2,0.389,1.1,0.7,0.9,0.813,1.7,1.2,0.2,0.0,0.3,5.8
Jordan Bell,C-PF,29,8.8,1.2,2.3,0.522,0.1,0.7,1.1,0.613,2.8,0.6,0.1,0.3,0.7,3.2
DeAndre' Bembry,SG,43,21.3,2.4,5.3,0.456,0.3,0.6,1.1,0.542,3.5,1.9,1.3,0.4,1.4,5.8
Dragan Bender,SF,16,17.9,2.6,5.8,0.446,0.9,0.6,0.9,0.7140000000000001,4.6,1.8,0.3,0.6,1.3,6.7
Dāvis Bertāns,PF,54,29.3,4.9,11.3,0.434,3.7,1.9,2.3,0.852,4.5,1.7,0.7,0.6,1.1,15.4
Patrick Beverley,PG,49,26.8,2.9,6.8,0.428,1.6,0.6,0.9,0.674,5.3,3.7,1.1,0.5,1.3,8.0
Khem Birch,C,41,19.4,1.4,3.0,0.488,0.0,1.1,1.8,0.644,4.5,1.0,0.4,0.6,0.6,4.0
Goga Bitadze,C,49,8.4,1.2,2.6,0.473,0.1,0.5,0.7,0.727,2.0,0.4,0.1,0.7,0.5,3.1
Bismack Biyombo,C,53,19.4,2.8,5.2,0.5429999999999999,0.0,1.7,2.8,0.603,5.8,0.9,0.2,0.9,0.9,7.4
Nemanja Bjelica,PF,65,28.5,4.5,9.4,0.47700000000000004,1.9,0.9,1.1,0.8240000000000001,6.4,2.8,0.9,0.5,1.4,11.9
Eric Bledsoe,PG,56,27.2,5.7,11.8,0.48200000000000004,1.3,2.8,3.4,0.813,4.6,5.4,0.9,0.4,2.5,15.4
Bogdan Bogdanović,SG,54,28.6,5.3,12.1,0.436,2.6,1.4,2.0,0.7290000000000001,3.2,3.2,1.0,0.3,1.7,14.6
Bojan Bogdanović,SF,63,33.1,6.6,14.8,0.447,3.0,4.0,4.4,0.903,4.1,2.1,0.5,0.1,2.5,20.2
Jonah Bolden,PF,7,6.7,0.6,1.6,0.364,0.0,0.3,0.6,0.5,1.3,0.0,0.4,0.3,0.3,1.4
Marques Bolden,C,1,3.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,1.0,0.0,0.0,0.0
Jordan Bone,PG,10,5.3,0.5,2.0,0.25,0.2,0.0,0.0,,0.4,0.8,0.1,0.0,0.2,1.2
Isaac Bonga,SF,59,17.8,1.7,3.2,0.516,0.4,1.0,1.2,0.826,3.2,1.1,0.6,0.4,0.7,4.7
Devin Booker,SG,63,36.1,8.8,18.1,0.485,2.0,6.6,7.2,0.9179999999999999,4.2,6.5,0.7,0.3,4.0,26.1
Chris Boucher,PF,55,13.2,2.2,4.7,0.45799999999999996,0.5,1.5,1.9,0.7959999999999999,4.4,0.4,0.4,1.0,0.4,6.3
Brian Bowen,SG,5,5.8,0.4,1.8,0.222,0.0,0.0,0.0,,1.4,0.0,0.0,0.2,0.2,0.8
Ky Bowman,PG,45,22.6,3.0,7.1,0.41700000000000004,0.7,0.8,0.9,0.8290000000000001,2.7,2.9,1.0,0.2,1.6,7.4
Avery Bradley,SG,49,24.2,3.5,7.8,0.444,1.3,0.4,0.5,0.833,2.3,1.3,0.9,0.1,1.0,8.6
Tony Bradley,C,51,10.8,2.1,3.1,0.669,0.0,0.5,0.8,0.65,4.3,0.3,0.3,0.5,0.5,4.6
Jarrell Brantley,PF,5,2.6,0.0,0.0,,0.0,0.0,0.0,,1.0,0.2,0.0,0.4,0.4,0.0
Ignas Brazdeikis,SF,9,5.9,0.7,2.4,0.273,0.1,0.4,0.6,0.8,0.6,0.4,0.0,0.1,0.2,1.9
Mikal Bridges,SF,66,27.4,3.2,6.3,0.516,0.9,1.4,1.7,0.838,4.0,1.8,1.4,0.6,1.0,8.8
Miles Bridges,SF,65,30.7,4.9,11.6,0.424,1.5,1.6,2.0,0.809,5.6,1.8,0.6,0.7,1.5,13.0
Oshae Brissett,SF,19,7.1,0.7,1.9,0.361,0.2,0.4,0.5,0.8,1.4,0.4,0.2,0.1,0.4,1.9
Ryan Broekhoff,SG,17,10.6,1.3,3.5,0.373,1.2,0.4,0.5,0.875,2.5,0.6,0.3,0.2,0.4,4.2
Malcolm Brogdon,PG,48,30.7,6.0,13.7,0.439,1.3,3.0,3.4,0.895,4.7,7.1,0.7,0.2,2.4,16.3
Dillon Brooks,SG,66,28.6,5.7,14.3,0.402,2.0,2.2,2.7,0.8059999999999999,3.3,2.0,0.9,0.4,1.7,15.7
Bruce Brown,SG,58,28.2,3.4,7.7,0.44299999999999995,0.6,1.5,2.1,0.7390000000000001,4.7,4.0,1.1,0.5,1.7,8.9
Charlie Brown,SG,10,4.0,0.6,1.9,0.316,0.3,0.5,0.5,1.0,0.4,0.2,0.2,0.2,0.3,2.0
Jaylen Brown,SF,51,34.0,7.5,15.4,0.488,2.2,3.3,4.4,0.738,6.3,2.2,1.1,0.3,2.3,20.5
Moses Brown,C,9,3.7,0.4,1.1,0.4,0.0,0.3,0.9,0.375,1.6,0.1,0.1,0.1,0.3,1.2
Sterling Brown,SF,46,15.0,1.8,4.8,0.365,0.8,0.6,0.8,0.778,3.7,1.0,0.5,0.2,0.8,4.9
Troy Brown Jr.,SG,62,24.9,3.8,8.3,0.455,0.8,1.4,1.9,0.7609999999999999,5.3,2.3,1.2,0.1,1.0,9.8
Jalen Brunson,PG,57,17.9,3.2,6.8,0.466,0.8,1.1,1.3,0.813,2.4,3.3,0.4,0.1,1.2,8.2
Thomas Bryant,C,39,23.9,4.8,8.2,0.589,0.6,1.8,2.5,0.732,6.8,1.9,0.4,0.8,1.2,12.1
Reggie Bullock,SG,29,23.6,3.1,7.7,0.402,1.3,0.6,0.7,0.81,2.3,1.4,0.9,0.1,0.7,8.1
Trey Burke,PG,26,13.8,2.7,5.5,0.49,0.9,0.5,0.8,0.7,1.4,2.3,0.3,0.0,0.5,6.8
Alec Burks,SG,59,27.3,4.8,11.9,0.40399999999999997,1.7,3.8,4.3,0.8959999999999999,4.4,2.9,1.0,0.3,1.4,15.1
Deonte Burton,SG,34,8.4,1.1,3.1,0.371,0.3,0.2,0.4,0.5,1.4,0.3,0.1,0.3,0.4,2.8
Jimmy Butler,SF,54,34.3,6.1,13.4,0.45399999999999996,0.5,7.6,9.1,0.833,6.6,6.1,1.7,0.5,2.2,20.2
Bruno Caboclo,SF,27,8.1,1.2,2.9,0.41600000000000004,0.1,0.1,0.2,0.8,2.0,0.4,0.4,0.6,0.3,2.7
Kentavious Caldwell-Pope,SG,64,25.5,3.5,7.4,0.46799999999999997,1.4,1.2,1.5,0.7759999999999999,2.1,1.7,0.8,0.2,0.9,9.5
Vlatko Čančar,SF,14,3.2,0.4,1.1,0.4,0.1,0.3,0.3,1.0,0.7,0.2,0.1,0.1,0.2,1.2
Clint Capela,C,39,32.8,6.3,9.9,0.629,0.0,1.4,2.7,0.529,13.8,1.2,0.8,1.8,1.6,13.9
DeMarre Carroll,SF,21,11.0,1.0,2.6,0.389,0.3,1.1,1.7,0.667,2.2,0.9,0.2,0.2,0.8,3.5
Jevon Carter,PG,51,15.3,1.6,4.1,0.4,0.9,0.5,0.5,0.852,2.0,1.3,0.8,0.3,0.6,4.7
Vince Carter,SF,60,14.6,1.8,5.1,0.35200000000000004,1.0,0.4,0.5,0.7929999999999999,2.1,0.8,0.4,0.4,0.6,5.0
Wendell Carter Jr.,C,43,29.2,4.3,8.0,0.534,0.1,2.6,3.5,0.737,9.4,1.2,0.8,0.8,1.7,11.3
Michael Carter-Williams,SG,43,18.5,2.5,5.8,0.426,0.5,1.7,2.0,0.83,3.3,2.4,1.1,0.5,1.1,7.2
Alex Caruso,PG,59,18.0,1.9,4.5,0.419,0.6,1.0,1.4,0.7440000000000001,2.0,1.8,1.0,0.3,0.8,5.5
Willie Cauley-Stein,C,54,20.3,3.2,5.6,0.579,0.0,0.7,1.2,0.606,5.8,1.3,0.9,1.1,0.7,7.2
Tyson Chandler,C,26,8.4,0.5,0.7,0.778,0.0,0.2,0.5,0.462,2.5,0.2,0.2,0.3,0.3,1.3
Wilson Chandler,SF,35,21.0,2.1,5.2,0.40399999999999997,1.1,0.6,0.7,0.87,4.1,1.1,0.5,0.3,1.0,5.9
Joe Chealey,PG,4,8.3,0.0,1.8,0.0,0.0,0.5,0.5,1.0,0.0,0.3,1.0,0.0,0.5,0.5
Zylan Cheatham,SF,3,10.3,0.7,1.7,0.4,0.0,0.0,0.0,,2.0,0.7,0.0,0.3,1.0,1.3
Chris Chiozza,PG,22,12.1,1.5,3.9,0.38799999999999996,0.8,0.1,0.1,1.0,1.6,2.3,0.7,0.1,0.8,3.9
Marquese Chriss,PF,59,20.3,3.6,6.5,0.545,0.1,2.0,2.6,0.769,6.2,1.9,0.7,1.1,1.3,9.3
Gary Clark,PF,36,12.0,1.1,2.9,0.379,0.8,0.2,0.3,0.889,2.4,0.4,0.1,0.4,0.2,3.2
Brandon Clarke,PF,51,22.0,5.1,8.2,0.627,0.4,1.6,2.0,0.792,5.9,1.5,0.5,0.9,0.9,12.2
Jordan Clarkson,SG,64,24.4,5.6,12.0,0.465,2.0,2.0,2.4,0.8420000000000001,2.7,2.0,0.7,0.2,1.3,15.2
Nicolas Claxton,PF,15,12.5,1.8,3.2,0.563,0.1,0.7,1.4,0.524,2.9,1.1,0.1,0.5,0.6,4.4
Chris Clemons,SG,29,8.7,1.8,4.3,0.405,1.1,0.2,0.2,0.857,0.8,0.8,0.2,0.2,0.6,4.9
Antonius Cleveland,SG,7,3.1,0.3,0.9,0.33299999999999996,0.0,0.1,0.3,0.5,0.4,0.0,0.1,0.1,0.1,0.7
Amir Coffey,SG,14,7.4,1.0,2.4,0.41200000000000003,0.1,0.1,0.2,0.33299999999999996,1.0,0.6,0.1,0.1,0.2,2.2
John Collins,PF,41,33.2,8.6,14.8,0.583,1.4,2.9,3.7,0.8,10.1,1.5,0.8,1.6,1.8,21.6
Zach Collins,PF,4,30.8,3.0,7.0,0.429,1.0,1.5,1.5,1.0,5.3,2.3,0.3,0.5,1.5,8.5
Mike Conley,PG,42,28.7,4.9,12.0,0.406,2.0,2.3,2.9,0.802,3.2,4.3,0.8,0.1,1.9,14.0
Pat Connaughton,SG,61,18.3,2.0,4.3,0.456,0.7,0.4,0.6,0.75,4.2,1.6,0.3,0.5,0.8,5.1
Quinn Cook,PG,38,10.8,2.0,4.6,0.439,0.7,0.2,0.2,0.667,1.1,1.1,0.3,0.0,0.7,4.8
Tyler Cook,PF,11,3.2,0.6,0.9,0.7,0.0,0.5,0.5,0.833,0.9,0.1,0.1,0.0,0.1,1.7
Robert Covington,PF,63,30.3,4.5,10.5,0.429,2.4,1.4,1.8,0.804,6.5,1.2,1.5,1.3,1.5,12.8
Allen Crabbe,SG,37,17.6,1.7,4.8,0.35600000000000004,1.0,0.3,0.4,0.7140000000000001,2.1,0.9,0.4,0.1,0.5,4.6
Torrey Craig,SF,50,17.4,1.9,4.2,0.462,0.7,0.4,0.6,0.645,3.1,0.7,0.4,0.6,0.4,5.0
Jae Crowder,SF,58,29.2,3.4,8.8,0.384,1.9,1.6,2.1,0.785,6.1,2.6,1.2,0.4,1.1,10.4
Jarrett Culver,SG,63,23.9,3.7,9.0,0.40399999999999997,1.0,0.9,1.9,0.462,3.4,1.7,0.9,0.6,1.3,9.2
Seth Curry,SG,60,24.5,4.4,8.9,0.496,2.3,1.3,1.6,0.8190000000000001,2.3,2.0,0.6,0.2,1.0,12.4
Stephen Curry,PG,5,27.8,6.6,16.4,0.402,2.4,5.2,5.2,1.0,5.2,6.6,1.0,0.4,3.2,20.8
Troy Daniels,SG,42,10.9,1.5,3.8,0.39,1.0,0.2,0.4,0.625,1.1,0.3,0.2,0.1,0.2,4.1
Anthony Davis,PF,56,34.4,9.2,18.1,0.509,1.2,7.2,8.5,0.848,9.4,3.1,1.5,2.4,2.5,26.8
Ed Davis,C,25,10.7,0.6,1.4,0.41200000000000003,0.0,0.2,0.4,0.455,3.8,0.3,0.4,0.4,0.5,1.3
Terence Davis,SG,64,17.0,2.8,6.1,0.46299999999999997,1.4,0.7,0.8,0.865,3.4,1.7,0.5,0.2,1.0,7.7
Dewayne Dedmon,C,44,17.6,2.3,5.8,0.4,0.5,0.7,0.8,0.833,5.7,0.5,0.6,0.9,1.3,5.8
Matthew Dellavedova,PG,57,14.4,1.1,3.1,0.354,0.4,0.6,0.6,0.865,1.3,3.2,0.4,0.0,1.0,3.1
DeMar DeRozan,SF,62,34.3,8.3,15.6,0.529,0.1,5.6,6.6,0.841,5.6,5.6,1.0,0.2,2.4,22.2
Cheick Diallo,C,44,10.6,2.0,3.1,0.65,0.0,0.7,0.8,0.865,2.9,0.5,0.2,0.3,0.7,4.8
Hamidou Diallo,SF,38,18.4,2.6,5.8,0.452,0.2,0.7,1.2,0.622,3.2,0.6,0.7,0.2,1.0,6.1
Gorgui Dieng,C,58,17.4,2.7,5.9,0.461,0.9,1.1,1.4,0.735,5.8,1.2,0.8,1.0,0.9,7.4
Spencer Dinwiddie,SG,64,31.2,6.6,16.0,0.415,1.9,5.4,7.0,0.778,3.5,6.8,0.6,0.3,2.7,20.6
Donte DiVincenzo,SG,60,23.1,3.6,7.7,0.46299999999999997,1.3,1.0,1.3,0.769,4.9,2.3,1.3,0.3,1.2,9.4
Luka Dončić,PG,55,33.5,9.5,20.7,0.46,2.9,6.8,9.1,0.748,9.4,8.7,1.1,0.2,4.3,28.7
Luguentz Dort,SG,29,22.0,2.2,5.4,0.414,0.8,1.0,1.2,0.778,1.9,0.7,0.8,0.1,0.5,6.2
Damyean Dotson,SG,48,17.4,2.5,6.0,0.414,1.2,0.5,0.7,0.667,1.9,1.2,0.5,0.1,0.4,6.7
Sekou Doumbouya,SF,38,19.8,2.4,6.2,0.39,0.7,0.8,1.2,0.674,3.1,0.5,0.5,0.2,0.9,6.4
PJ Dozier,PG,21,11.1,1.7,4.3,0.396,0.3,0.3,0.5,0.636,1.4,1.4,0.3,0.2,0.5,4.1
Goran Dragić,PG,54,28.4,5.4,12.3,0.43700000000000006,2.2,3.1,4.1,0.769,3.1,5.1,0.6,0.1,2.5,16.1
Andre Drummond,C,57,33.0,7.3,13.8,0.5329999999999999,0.1,3.0,5.2,0.575,15.2,2.7,1.9,1.6,3.6,17.7
Jared Dudley,SF,40,7.8,0.5,1.3,0.4,0.4,0.1,0.1,1.0,1.1,0.5,0.3,0.1,0.2,1.5
Kris Dunn,PG,51,24.9,3.0,6.7,0.444,0.6,0.8,1.1,0.741,3.6,3.4,2.0,0.3,1.3,7.3
Carsen Edwards,SG,35,9.0,1.1,3.2,0.327,0.6,0.3,0.4,0.846,1.2,0.6,0.3,0.1,0.4,3.0
Henry Ellenson,PF,5,3.0,0.2,1.4,0.14300000000000002,0.0,0.0,0.0,,1.2,0.2,0.0,0.0,0.0,0.4
Wayne Ellington,SG,36,15.5,1.7,4.8,0.35100000000000003,1.4,0.3,0.4,0.846,1.8,1.2,0.4,0.1,0.5,5.1
Joel Embiid,C,44,30.2,7.5,15.9,0.474,1.3,7.1,8.7,0.8140000000000001,11.8,3.1,0.9,1.3,3.1,23.4
James Ennis,SF,62,17.4,2.1,4.8,0.439,0.8,1.1,1.3,0.805,3.3,0.9,0.5,0.3,0.7,6.0
Drew Eubanks,PF,15,8.8,1.5,1.9,0.759,0.1,0.5,0.7,0.727,2.3,0.3,0.1,0.4,0.7,3.5
Jacob Evans,SG,29,14.4,1.6,4.6,0.336,0.4,0.9,1.0,0.862,1.4,1.1,0.4,0.4,0.9,4.4
Dante Exum,SG,35,13.9,1.6,3.4,0.47100000000000003,0.4,0.9,1.2,0.7440000000000001,1.9,1.1,0.4,0.2,0.9,4.5
Tacko Fall,C,6,4.0,1.5,2.0,0.75,0.0,0.2,0.5,0.33299999999999996,1.8,0.0,0.0,0.3,0.5,3.2
Derrick Favors,C,46,24.3,4.1,6.7,0.617,0.0,0.8,1.3,0.581,9.8,1.7,0.6,1.0,1.2,9.1
Cristiano Felício,PF,22,17.5,1.5,2.5,0.63,0.0,0.8,1.0,0.7829999999999999,4.6,0.7,0.5,0.1,0.8,3.9
Terrance Ferguson,SF,50,23.4,1.5,4.0,0.37200000000000005,0.9,0.3,0.4,0.789,1.5,0.9,0.5,0.3,0.6,4.2
Bruno Fernando,C,56,12.7,1.8,3.6,0.518,0.1,0.5,0.9,0.569,3.5,0.9,0.3,0.3,0.8,4.3
Yogi Ferrell,PG,44,11.0,1.5,3.8,0.396,0.4,0.7,0.8,0.865,1.1,1.3,0.3,0.1,0.6,4.2
Dorian Finney-Smith,PF,65,29.6,3.3,7.1,0.466,1.6,1.1,1.5,0.722,5.5,1.6,0.7,0.6,1.0,9.3
Bryn Forbes,SG,63,25.1,3.8,9.2,0.41700000000000004,2.3,1.2,1.4,0.833,2.0,1.7,0.5,0.0,0.9,11.2
Evan Fournier,SG,62,31.5,6.7,14.3,0.473,2.7,2.7,3.3,0.82,2.5,3.2,1.1,0.2,2.0,18.9
De'Aaron Fox,PG,46,31.8,7.5,15.8,0.47700000000000004,1.0,4.8,6.8,0.7040000000000001,4.0,6.7,1.4,0.5,3.1,20.8
Melvin Frazier,SG,16,3.4,0.4,1.1,0.353,0.3,0.1,0.3,0.5,0.3,0.1,0.3,0.1,0.2,1.1
Michael Frazier,SG,8,8.3,0.5,1.4,0.364,0.3,0.5,0.8,0.667,0.4,0.1,0.3,0.0,0.3,1.8
Tim Frazier,PG,27,13.1,1.3,3.5,0.36200000000000004,0.4,0.7,0.9,0.792,1.2,3.4,0.5,0.1,1.3,3.6
Markelle Fultz,PG,65,28.2,5.0,10.5,0.473,0.5,1.6,2.2,0.723,3.3,5.2,1.3,0.2,2.0,12.0
Wenyen Gabriel,PF,28,7.5,0.7,1.6,0.435,0.2,0.5,0.7,0.7,1.6,0.3,0.4,0.2,0.6,2.1
Daniel Gafford,C,43,14.2,2.2,3.1,0.701,0.0,0.7,1.4,0.5329999999999999,2.5,0.5,0.3,1.3,0.7,5.1
Danilo Gallinari,PF,55,30.7,6.0,13.6,0.439,3.0,4.3,4.8,0.8859999999999999,5.5,2.1,0.7,0.1,1.3,19.2
Langston Galloway,SG,66,25.8,3.6,8.2,0.435,2.0,1.1,1.3,0.8590000000000001,2.3,1.5,0.7,0.2,0.6,10.3
Darius Garland,PG,59,30.9,4.7,11.8,0.401,1.8,1.1,1.2,0.875,1.9,3.9,0.7,0.1,2.6,12.3
Marc Gasol,C,36,27.5,2.8,6.6,0.419,1.4,0.7,1.0,0.722,6.3,3.4,0.8,0.9,1.2,7.6
Rudy Gay,PF,61,21.5,3.8,8.5,0.445,1.0,1.6,1.9,0.8759999999999999,5.4,1.7,0.4,0.5,1.3,10.2
Paul George,SF,43,29.2,7.0,16.1,0.43700000000000006,3.2,3.9,4.4,0.8740000000000001,5.7,3.8,1.4,0.5,2.7,21.2
Taj Gibson,C,62,16.5,2.7,4.6,0.584,0.1,0.7,0.9,0.732,4.3,0.8,0.4,0.5,0.8,6.1
Harry Giles,PF,39,14.9,3.0,5.4,0.56,0.0,0.8,1.1,0.767,4.1,1.3,0.5,0.4,0.9,6.8
Shai Gilgeous-Alexander,SG,63,35.1,7.0,14.8,0.473,1.2,4.0,5.0,0.8009999999999999,6.1,3.3,1.1,0.7,1.9,19.3
Rudy Gobert,C,63,34.5,5.7,8.2,0.695,0.0,3.7,5.9,0.624,13.7,1.5,0.7,2.0,2.0,15.0
Brandon Goodwin,PG,34,12.6,2.2,5.6,0.4,0.8,0.8,0.9,0.9329999999999999,2.1,1.5,0.4,0.1,0.9,6.1
Aaron Gordon,PF,59,32.9,5.4,12.4,0.43200000000000005,1.2,2.4,3.6,0.6779999999999999,7.7,3.7,0.8,0.6,1.6,14.3
Eric Gordon,SG,34,28.6,4.8,12.9,0.37,2.7,2.3,3.0,0.757,1.9,1.5,0.6,0.4,1.1,14.5
Devonte' Graham,PG,63,35.1,5.8,15.3,0.382,3.5,3.0,3.7,0.82,3.4,7.5,1.0,0.2,2.9,18.2
Treveon Graham,SG,55,16.9,1.6,4.4,0.36,0.6,0.7,1.0,0.643,2.7,0.8,0.4,0.1,0.5,4.4
Jerami Grant,PF,64,26.2,4.1,8.7,0.47100000000000003,1.4,2.0,2.7,0.7440000000000001,3.5,1.2,0.7,0.8,0.9,11.6
Jerian Grant,G,1,10.0,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,5.0
Josh Gray,PG,2,11.5,0.5,1.0,0.5,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,2.5,1.0
Danny Green,SG,62,25.1,2.9,7.0,0.418,1.9,0.5,0.7,0.727,3.3,1.4,1.2,0.5,0.9,8.2
Draymond Green,PF,43,28.4,2.9,7.3,0.389,0.8,1.5,1.9,0.759,6.2,6.2,1.4,0.8,2.3,8.0
JaMychal Green,PF,56,20.7,2.3,5.5,0.41600000000000004,1.4,0.6,0.8,0.727,6.3,0.8,0.4,0.4,0.8,6.5
Javonte Green,SF,44,9.4,1.1,2.2,0.5,0.1,0.5,0.8,0.639,1.8,0.5,0.5,0.2,0.4,2.9
Jeff Green,PF,41,18.9,2.9,6.6,0.444,1.2,1.4,1.8,0.784,2.8,0.8,0.5,0.4,0.9,8.5
Blake Griffin,PF,18,28.4,4.9,13.9,0.35200000000000004,1.5,4.2,5.4,0.7759999999999999,4.7,3.3,0.4,0.4,2.2,15.5
Marko Guduric,SG,42,11.3,1.5,3.7,0.396,0.6,0.5,0.6,0.92,1.7,1.1,0.3,0.2,0.9,4.0
Kyle Guy,SG,2,2.0,0.5,1.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
Rui Hachimura,PF,42,29.7,5.4,11.2,0.48,0.5,2.3,2.8,0.836,6.1,1.7,0.8,0.2,1.1,13.5
Devon Hall,SG,5,4.0,0.2,1.0,0.2,0.0,0.6,0.8,0.75,0.2,0.6,0.0,0.0,0.2,1.0
Donta Hall,PF,5,12.0,0.8,1.4,0.5710000000000001,0.0,1.2,2.2,0.545,3.6,0.4,0.2,0.4,0.4,2.8
Dusty Hannahs,SG,2,6.5,2.0,4.5,0.444,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,6.0
Tim Hardaway Jr.,SG,64,29.0,5.5,12.6,0.43799999999999994,3.0,2.0,2.5,0.81,3.2,2.0,0.6,0.1,1.0,16.0
James Harden,SG,62,36.9,10.0,22.7,0.439,4.4,10.3,11.9,0.861,6.4,7.4,1.8,0.9,4.4,34.6
