Player,Team,Positions,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
Aaron Gordon,ORL,"SF,PF",1279.00,564.00,241.00,56.00,64.00,0.45,0.72,127.00,77.00,2479.00,137.00
TJ Warren,IND,"SF,PF",1272.00,330.00,107.00,45.00,82.00,0.50,0.78,75.00,73.00,2336.00,75.00
Ja Morant,MEM,PG,1257.00,314.00,582.00,27.00,100.00,0.44,0.80,132.00,76.00,2366.00,246.00
Kevin Love,CLE,"PF,C",1246.00,682.00,151.00,24.00,35.00,0.43,0.89,168.00,69.00,2113.00,129.00
Jaylen Brown,BOS,"SG,SF",1225.00,383.00,138.00,46.00,98.00,0.48,0.67,147.00,77.00,2368.00,121.00
Kyle Lowry,TOR,PG,1223.00,364.00,528.00,29.00,99.00,0.43,0.84,201.00,72.00,2399.00,190.00
JJ Redick,NOR,SG,1219.00,171.00,180.00,12.00,32.00,0.45,0.90,220.00,76.00,2179.00,97.00
Gordon Hayward,BOS,"SG,SF",1212.00,385.00,303.00,27.00,68.00,0.48,0.84,107.00,75.00,2277.00,136.00
Brandon Ingram,NOR,"SG,SF",1210.00,357.00,234.00,49.00,51.00,0.49,0.70,52.00,72.00,2254.00,162.00
RJ Barrett,NYK,"SF,SG",1205.00,428.00,223.00,26.00,58.00,0.43,0.72,154.00,75.00,2138.00,128.00
Evan Fournier,ORL,"SG,SF",1205.00,243.00,258.00,11.00,67.00,0.44,0.84,151.00,77.00,2407.00,131.00
Rudy Gobert,UTH,C,1197.00,992.00,142.00,197.00,61.00,0.65,0.66,0.00,77.00,2520.00,132.00
Goran Dragic,MIA,"PG,SG",1191.00,274.00,390.00,11.00,65.00,0.45,0.79,113.00,75.00,2354.00,162.00
Otto Porter Jr.,CHI,"SF,PF",1188.00,456.00,177.00,46.00,113.00,0.48,0.81,152.00,78.00,2478.00,82.00
Kristaps Porzingis,DAL,"PF,C",1180.00,410.00,72.00,108.00,40.00,0.44,0.80,117.00,59.00,1786.00,99.00
Eric Gordon,HOU,"SG,SF",1178.00,170.00,146.00,29.00,44.00,0.42,0.82,218.00,75.00,2281.00,112.00
Bojan Bogdanovic,UTH,"SG,SF",1173.00,360.00,150.00,11.00,78.00,0.49,0.74,136.00,78.00,2348.00,116.00
Eric Bledsoe,MIL,"PG,SG ",1172.00,352.00,426.00,33.00,122.00,0.47,0.79,128.00,76.00,2331.00,190.00
Dennis Schroder,OKC,"PG,SG",1169.00,245.00,330.00,11.00,59.00,0.43,0.83,106.00,77.00,2002.00,170.00
Gary Harris,DEN,"SG,SF",1163.00,209.00,190.00,19.00,106.00,0.47,0.82,144.00,74.00,2420.00,104.00
Reggie Jackson,DET,"PG,SG",1162.00,199.00,364.00,7.00,49.00,0.43,0.86,126.00,74.00,2182.00,150.00
Jaren Jackson Jr.,MEM,"PF,C",1156.00,499.00,103.00,120.00,75.00,0.49,0.78,67.00,74.00,2129.00,142.00
Malcolm Brogdon,IND,"PG,SG",1154.00,301.00,348.00,14.00,67.00,0.48,0.90,125.00,74.00,2245.00,120.00
Jonas Valanciunas,MEM,C,1150.00,698.00,112.00,96.00,34.00,0.56,0.80,34.00,76.00,1896.00,141.00
Clint Capela,HOU,"PF,C",1146.00,842.00,97.00,134.00,55.00,0.64,0.59,0.00,75.00,2358.00,109.00
Jordan Clarkson,CLE,"PG,SG",1139.00,233.00,208.00,11.00,53.00,0.45,0.83,121.00,78.00,2012.00,133.00
Terry Rozier,CHA,"PG,SG",1131.00,407.00,316.00,25.00,84.00,0.40,0.76,168.00,78.00,2229.00,109.00
Tim Hardaway Jr.,DAL,"SG,SF ",1112.00,228.00,164.00,9.00,54.00,0.41,0.84,154.00,73.00,1911.00,92.00
Josh Richardson,PHI,"SG,SF",1111.00,280.00,237.00,66.00,109.00,0.45,0.84,155.00,77.00,2578.00,119.00
Myles Turner,IND,"PF,C",1110.00,587.00,131.00,185.00,57.00,0.48,0.76,84.00,77.00,2264.00,107.00
Domantas Sabonis,IND,"PF,C",1106.00,737.00,250.00,38.00,55.00,0.53,0.73,20.00,78.00,2160.00,167.00
Marc Gasol,TOR,C,1104.00,564.00,309.00,87.00,67.00,0.45,0.81,101.00,76.00,2295.00,143.00
Chris Paul,OKC,PG,1100.00,310.00,534.00,17.00,114.00,0.44,0.89,136.00,66.00,2043.00,171.00
Jeremy Lamb,IND,"SG,SF",1097.00,363.00,203.00,30.00,79.00,0.46,0.88,113.00,77.00,2038.00,81.00
Derrick Favors,NOR,"PF,C",1094.00,642.00,114.00,114.00,62.00,0.55,0.67,18.00,76.00,2146.00,108.00
Montrezl Harrell,LAC,"PF,C",1092.00,529.00,170.00,99.00,58.00,0.58,0.68,9.00,77.00,1929.00,106.00
Caris LeVert,BKN,"SG,SF",1085.00,296.00,314.00,41.00,90.00,0.46,0.72,98.00,73.00,1982.00,121.00
Steven Adams,OKC,C,1079.00,786.00,117.00,78.00,106.00,0.60,0.54,0.00,79.00,2538.00,133.00
Rodney Hood,POR,"SG,SF",1077.00,200.00,146.00,15.00,62.00,0.44,0.85,126.00,75.00,2096.00,89.00
Bogdan Bogdanovic,SAC,"SG,SF",1076.00,264.00,295.00,19.00,78.00,0.44,0.83,154.00,78.00,2166.00,113.00
Thomas Bryant,WAS,C,1073.00,706.00,145.00,102.00,33.00,0.58,0.78,54.00,78.00,2058.00,77.00
Kevin Knox,NYK,"SF,PF",1070.00,363.00,107.00,36.00,54.00,0.42,0.74,90.00,77.00,2392.00,120.00
Taurean Prince,BKN,SF,1061.00,337.00,178.00,32.00,73.00,0.44,0.83,164.00,77.00,2289.00,154.00
Serge Ibaka,TOR,"PF,C",1048.00,564.00,78.00,92.00,32.00,0.49,0.80,78.00,75.00,1982.00,102.00
Enes Kanter,BOS,C,1044.00,703.00,133.00,34.00,40.00,0.58,0.82,6.00,73.00,1985.00,130.00
Miles Bridges,CHA,SF,1042.00,447.00,140.00,71.00,82.00,0.46,0.76,78.00,79.00,2149.00,79.00
Darius Garland,CLE,"PG,SG",1029.00,214.00,233.00,8.00,54.00,0.46,0.82,149.00,76.00,1748.00,159.00
Paul Millsap,DEN,"PF,C",1000.00,516.00,174.00,66.00,86.00,0.47,0.73,62.00,73.00,2178.00,117.00
Brook Lopez,MIL,C,997.00,372.00,110.00,152.00,41.00,0.46,0.81,174.00,77.00,2067.00,96.00
Hassan Whiteside,POR,C,994.00,846.00,65.00,149.00,47.00,0.55,0.61,0.00,73.00,1892.00,112.00
Shai Gilgeous-Alexander,OKC,"PG,SG",994.00,264.00,352.00,43.00,111.00,0.46,0.79,70.00,77.00,2217.00,168.00
Dario Saric,PHO,"PF,C",994.00,474.00,162.00,16.00,53.00,0.45,0.86,133.00,77.00,2231.00,122.00
Rui Hachimura,WAS,"PF,SF",986.00,492.00,139.00,71.00,85.00,0.49,0.72,50.00,77.00,2002.00,102.00
Will Barton,DEN,"SG,SF",985.00,357.00,256.00,39.00,51.00,0.43,0.79,124.00,73.00,2284.00,116.00
Al Horford,PHI,"PF,C",982.00,534.00,311.00,95.00,58.00,0.51,0.82,85.00,74.00,2242.00,120.00
Tyler Herro,MIA,SG,962.00,229.00,156.00,26.00,56.00,0.44,0.85,150.00,78.00,2028.00,94.00
Dejounte Murray,SAS,PG,960.00,516.00,307.00,35.00,99.00,0.46,0.72,12.00,75.00,2250.00,165.00
Fred VanVleet,TOR,PG,952.00,207.00,333.00,22.00,69.00,0.42,0.84,154.00,73.00,1868.00,92.00
Ricky Rubio,PHO,PG,952.00,302.00,564.00,10.00,116.00,0.42,0.87,90.00,75.00,2282.00,200.00
Alex Len,ATL,"PF,C",945.00,541.00,99.00,85.00,36.00,0.52,0.70,61.00,77.00,1706.00,99.00
Kelly Oubre Jr.,PHO,SF,941.00,352.00,101.00,52.00,89.00,0.41,0.80,97.00,80.00,2055.00,83.00
De'Andre Hunter,ATL,SF,939.00,398.00,167.00,33.00,90.00,0.49,0.75,105.00,77.00,2002.00,107.00
Terrence Ross,ORL,"SG,SF",937.00,228.00,112.00,27.00,64.00,0.42,0.84,162.00,73.00,1733.00,71.00
Wendell Carter Jr.,CHI,"C,PF",937.00,640.00,132.00,103.00,49.00,0.50,0.77,12.00,79.00,2244.00,123.00
D.J. Augustin,ORL,PG,936.00,197.00,391.00,0.00,54.00,0.46,0.86,135.00,78.00,2260.00,134.00
Jeff Teague,MIN,PG,931.00,207.00,525.00,26.00,87.00,0.43,0.82,78.00,74.00,2361.00,180.00
Rudy Gay,SAS,"SF,PF",918.00,414.00,155.00,40.00,56.00,0.47,0.80,75.00,72.00,1663.00,110.00
Kent Bazemore,POR,"SG,SF",918.00,307.00,200.00,49.00,100.00,0.42,0.75,111.00,75.00,2001.00,142.00
Nicolas Batum,CHA,"SG,SF",912.00,374.00,371.00,35.00,70.00,0.42,0.84,121.00,74.00,2343.00,145.00
Josh Jackson,MEM,"SG,SF",912.00,362.00,158.00,50.00,80.00,0.43,0.64,82.00,77.00,2218.00,147.00
Justise Winslow,MIA,"PF,PG,SF",911.00,428.00,293.00,31.00,81.00,0.43,0.63,93.00,73.00,2146.00,132.00
Isaiah Thomas,WAS,PG,909.00,136.00,301.00,9.00,48.00,0.39,0.85,113.00,68.00,1675.00,154.00
Spencer Dinwiddie,BKN,"PG,SG",909.00,183.00,340.00,20.00,46.00,0.43,0.80,108.00,75.00,1744.00,119.00
Bobby Portis,NYK,"PF,C",908.00,487.00,103.00,28.00,43.00,0.46,0.77,81.00,73.00,1705.00,95.00
Kevin Huerter,ATL,SG,894.00,264.00,224.00,20.00,77.00,0.43,0.77,157.00,77.00,1985.00,119.00
Derrick White,SAS,"PG,SG",885.00,293.00,277.00,54.00,77.00,0.48,0.79,65.00,75.00,1950.00,116.00
Joe Ingles,UTH,"SG,SF",885.00,335.00,357.00,31.00,88.00,0.47,0.72,151.00,79.00,2283.00,155.00
Marcus Morris,NYK,"SF,PF",880.00,370.00,97.00,20.00,38.00,0.43,0.81,110.00,74.00,1881.00,77.00
Kelly Olynyk,MIA,"PF,C",878.00,427.00,179.00,45.00,60.00,0.48,0.80,112.00,78.00,1837.00,130.00
Joe Harris,BKN,"SG,SF",874.00,259.00,142.00,15.00,33.00,0.50,0.81,152.00,75.00,1876.00,99.00
Bam Adebayo,MIA,"PF,C",869.00,662.00,190.00,87.00,75.00,0.54,0.72,0.00,79.00,2001.00,104.00
Jabari Parker,ATL,"SF,PF",866.00,363.00,118.00,26.00,44.00,0.49,0.72,73.00,72.00,1685.00,117.00
Robert Covington,MIN,"SF,PF",863.00,342.00,162.00,59.00,118.00,0.43,0.78,167.00,77.00,2189.00,103.00
Malik Monk,CHA,SG,857.00,161.00,177.00,22.00,49.00,0.39,0.86,149.00,76.00,1592.00,112.00
Dion Waiters,MIA,"SG,SF ",854.00,184.00,217.00,20.00,47.00,0.41,0.62,138.00,71.00,1719.00,114.00
Jerami Grant,DEN,"SF,PF",849.00,348.00,98.00,99.00,56.00,0.49,0.70,72.00,79.00,1892.00,68.00
Dillon Brooks,MEM,"SG,SF",844.00,220.00,110.00,16.00,64.00,0.45,0.75,82.00,77.00,1890.00,107.00
Jarrett Allen,BKN,"PF,C",837.00,612.00,88.00,114.00,41.00,0.60,0.74,8.00,79.00,2079.00,108.00
Dwight Howard,LAL,"PF,C",836.00,647.00,71.00,83.00,37.00,0.59,0.57,0.00,73.00,1702.00,131.00
Lonzo Ball,NOR,PG,826.00,437.00,612.00,44.00,123.00,0.41,0.60,138.00,71.00,2299.00,176.00
Rondae Hollis-Jefferson,TOR,"SF,PF ",825.00,437.00,148.00,48.00,71.00,0.47,0.76,12.00,78.00,1759.00,107.00
Willie Cauley-Stein,GSW,"PF,C ",819.00,503.00,166.00,61.00,73.00,0.55,0.59,1.00,76.00,2042.00,90.00
Kentavious Caldwell-Pope,LAL,"SG,SF",817.00,236.00,114.00,15.00,72.00,0.42,0.85,124.00,72.00,2124.00,64.00
Luke Kennard,DET,"SG,SF",817.00,250.00,164.00,17.00,47.00,0.45,0.82,129.00,75.00,1841.00,88.00
Draymond Green,GSW,"PF,C",817.00,602.00,580.00,97.00,113.00,0.44,0.73,81.00,76.00,2554.00,225.00
Mitchell Robinson,NYK,C,815.00,671.00,59.00,220.00,78.00,0.68,0.62,0.00,78.00,2019.00,57.00
Ish Smith,WAS,PG,812.00,228.00,344.00,17.00,54.00,0.46,0.72,54.00,79.00,1639.00,92.00
Wesley Matthews,MIL,"SG,SF",806.00,170.00,141.00,14.00,57.00,0.43,0.82,112.00,73.00,1773.00,77.00
Mario Hezonja,POR,"SG,SF",799.00,348.00,131.00,16.00,83.00,0.43,0.80,83.00,75.00,1841.00,112.00
DeMarre Carroll,SAS,"SF,PF",799.00,388.00,114.00,22.00,55.00,0.42,0.76,111.00,77.00,2020.00,78.00
DeAndre Jordan,BKN,C,798.00,936.00,139.00,78.00,38.00,0.66,0.62,0.00,78.00,2142.00,130.00
Thaddeus Young,CHI,"SF,PF",797.00,372.00,127.00,25.00,77.00,0.49,0.64,59.00,77.00,1937.00,96.00
Derrick Rose,DET,"PG,SG",778.00,141.00,203.00,10.00,38.00,0.45,0.86,68.00,62.00,1345.00,87.00
Jonathan Isaac,ORL,"SF,PF",775.00,424.00,90.00,107.00,88.00,0.43,0.81,89.00,74.00,1929.00,100.00
Bryn Forbes,SAS,"PG,SG",775.00,186.00,133.00,0.00,29.00,0.45,0.83,137.00,78.00,1872.00,60.00
Klay Thompson,GSW,"SG,SF ",769.00,135.00,85.00,19.00,32.00,0.46,0.86,121.00,38.00,1301.00,56.00
Elfrid Payton,NYK,PG,766.00,297.00,416.00,27.00,71.00,0.46,0.70,51.00,76.00,1941.00,161.00
OG Anunoby,TOR,"SF,PF",761.00,302.00,79.00,29.00,79.00,0.46,0.64,106.00,77.00,1940.00,81.00
Markieff Morris,DET,"PF,C",760.00,348.00,112.00,31.00,48.00,0.45,0.81,82.00,72.00,1910.00,88.00
Avery Bradley,LAL,"PG,SG",755.00,207.00,143.00,16.00,53.00,0.43,0.81,98.00,72.00,1802.00,96.00
James Johnson,MIA,"SF,PF",750.00,317.00,245.00,61.00,63.00,0.48,0.71,71.00,76.00,1680.00,107.00
Cedi Osman,CLE,"SF,PF",748.00,288.00,139.00,16.00,56.00,0.45,0.71,96.00,77.00,1599.00,94.00
Jae Crowder,MEM,"SF,PF",748.00,292.00,105.00,24.00,57.00,0.41,0.77,119.00,77.00,1795.00,65.00
Markelle Fultz,ORL,"PG,SG",746.00,237.00,252.00,24.00,70.00,0.42,0.66,29.00,72.00,1589.00,102.00
Tyler Johnson,PHO,"PG,SG",746.00,211.00,175.00,33.00,60.00,0.43,0.79,94.00,76.00,1892.00,81.00
Marcus Smart,BOS,"PG,SG",745.00,319.00,270.00,39.00,122.00,0.42,0.77,121.00,77.00,2025.00,120.00
Norman Powell,TOR,"SG,SF",728.00,212.00,129.00,19.00,58.00,0.46,0.80,95.00,75.00,1275.00,93.00
Dewayne Dedmon,SAC,C,727.00,550.00,96.00,71.00,63.00,0.52,0.78,70.00,74.00,1801.00,86.00
Seth Curry,DAL,"PG,SG",720.00,161.00,113.00,14.00,51.00,0.46,0.83,99.00,69.00,1295.00,79.00
Kris Dunn,CHI,"PG,SG",720.00,246.00,344.00,32.00,103.00,0.43,0.77,44.00,71.00,1903.00,151.00
JaVale McGee,LAL,C,720.00,457.00,60.00,110.00,41.00,0.61,0.67,0.00,76.00,1340.00,77.00
JaMychal Green,LAC,"PF,C",711.00,526.00,79.00,34.00,46.00,0.49,0.75,73.00,75.00,1777.00,95.00
Allen Crabbe,ATL,"SG,SF",705.00,235.00,86.00,23.00,42.00,0.41,0.82,140.00,76.00,1889.00,65.00
Tomas Satoransky,CHI,"PG,SG",704.00,281.00,288.00,17.00,61.00,0.47,0.80,67.00,75.00,1826.00,102.00
Dwight Powell,DAL,"PF,C ",700.00,367.00,148.00,40.00,53.00,0.53,0.75,44.00,72.00,1703.00,79.00
Danny Green,LAL,"SG,SF",693.00,280.00,124.00,59.00,68.00,0.43,0.82,155.00,76.00,1953.00,74.00
Zach Collins,POR,"PF,C",690.00,427.00,103.00,85.00,35.00,0.45,0.72,57.00,76.00,1611.00,101.00
Jeff Green,UTH,"SF,PF",686.00,222.00,93.00,22.00,33.00,0.46,0.88,59.00,74.00,1399.00,70.00
Delon Wright,DAL,"PG,SG",686.00,256.00,254.00,30.00,91.00,0.44,0.82,63.00,75.00,1459.00,79.00
C.J. Miles,WAS,"SG,SF ",685.00,175.00,62.00,21.00,46.00,0.37,0.83,142.00,75.00,1348.00,50.00
Austin Rivers,HOU,"PG,SG",681.00,135.00,160.00,17.00,46.00,0.43,0.61,107.00,74.00,1688.00,74.00
George Hill,MIL,"PG,SG",680.00,189.00,217.00,19.00,63.00,0.46,0.83,90.00,71.00,1813.00,82.00
Frank Kaminsky,PHO,"PF,C",675.00,237.00,103.00,27.00,33.00,0.43,0.78,75.00,79.00,1469.00,63.00
Anfernee Simons,POR,SG,669.00,157.00,157.00,10.00,44.00,0.44,0.73,77.00,67.00,1219.00,104.00
Cody Zeller,CHA,"PF,C",666.00,451.00,122.00,57.00,46.00,0.55,0.76,9.00,71.00,1694.00,77.00
Taj Gibson,NYK,"PF,C",664.00,410.00,70.00,43.00,41.00,0.56,0.76,9.00,76.00,2053.00,66.00
Tristan Thompson,CLE,"PF,C",662.00,656.00,98.00,40.00,35.00,0.52,0.62,0.00,76.00,1904.00,85.00
Landry Shamet,LAC,"PG,SF",661.00,132.00,148.00,7.00,37.00,0.43,0.80,140.00,76.00,1501.00,58.00
Larry Nance Jr.,CLE,"PF,C",659.00,563.00,166.00,44.00,101.00,0.54,0.68,21.00,74.00,1769.00,83.00
Monte Morris,DEN,PG,652.00,148.00,235.00,0.00,54.00,0.49,0.80,70.00,79.00,1343.00,41.00
Davis Bertans,WAS,"PF,C",649.00,272.00,111.00,36.00,40.00,0.44,0.85,151.00,77.00,1294.00,48.00
Tony Snell,DET,"SG,SF",647.00,216.00,99.00,19.00,44.00,0.44,0.85,119.00,75.00,1743.00,45.00
Gerald Green,HOU,"SG,SF ",639.00,170.00,37.00,24.00,31.00,0.41,0.87,128.00,59.00,1234.00,46.00
Patrick Beverley,LAC,"PG,SG",639.00,335.00,335.00,39.00,78.00,0.43,0.77,118.00,76.00,2033.00,88.00
Patty Mills,SAS,PG,638.00,134.00,183.00,5.00,42.00,0.42,0.85,117.00,77.00,1574.00,76.00
Courtney Lee,DAL,"SG,SF",631.00,167.00,119.00,11.00,56.00,0.45,0.89,84.00,79.00,1715.00,55.00
Josh Hart,NOR,"SG,SF",629.00,273.00,103.00,32.00,57.00,0.44,0.72,103.00,71.00,1725.00,67.00
Kevon Looney,GSW,"PF,C",627.00,483.00,117.00,82.00,59.00,0.55,0.64,21.00,77.00,1670.00,61.00
Brandon Clarke,MEM,PF,620.00,404.00,89.00,79.00,57.00,0.50,0.75,29.00,76.00,1042.00,59.00
Trey Lyles,SAS,PF,617.00,298.00,79.00,27.00,26.00,0.47,0.70,64.00,78.00,1267.00,53.00
Aaron Holiday,IND,PG,614.00,137.00,221.00,21.00,59.00,0.42,0.78,77.00,70.00,1463.00,105.00
Robin Lopez,MIL,C,609.00,290.00,82.00,80.00,10.00,0.57,0.75,7.00,76.00,1517.00,84.00
Trey Burke,PHI,PG,607.00,96.00,213.00,3.00,32.00,0.50,0.72,52.00,50.00,1070.00,59.00
Trevor Ariza,SAC,"SG,SF",606.00,253.00,136.00,14.00,73.00,0.41,0.80,110.00,74.00,1918.00,57.00
Al-Farouq Aminu,ORL,"SF,PF",604.00,458.00,84.00,31.00,61.00,0.43,0.76,82.00,76.00,1790.00,87.00
Dante Exum,UTH,"PG,SG",603.00,138.00,227.00,9.00,35.00,0.45,0.79,44.00,64.00,1242.00,96.00
Stanley Johnson,TOR,"SG,SF",601.00,272.00,113.00,18.00,85.00,0.39,0.77,72.00,76.00,1691.00,89.00
Maurice Harkless,LAC,SF,600.00,267.00,85.00,55.00,70.00,0.50,0.68,61.00,78.00,1797.00,62.00
Michael Kidd-Gilchrist,CHA,SF,599.00,341.00,80.00,43.00,49.00,0.48,0.76,25.00,77.00,1694.00,52.00
Ivica Zubac,LAC,C,594.00,445.00,86.00,69.00,27.00,0.53,0.76,0.00,72.00,1200.00,85.00
Mikal Bridges,PHO,"SG,SF",594.00,279.00,140.00,38.00,93.00,0.44,0.79,65.00,78.00,1688.00,57.00
Jakob Poeltl,SAS,C,592.00,479.00,94.00,91.00,43.00,0.63,0.57,0.00,76.00,1490.00,71.00
Gorgui Dieng,MIN,"PF,C",591.00,402.00,90.00,51.00,59.00,0.50,0.84,27.00,78.00,1474.00,70.00
Marvin Williams,CHA,"SF,PF",588.00,331.00,72.00,30.00,44.00,0.43,0.80,107.00,69.00,1634.00,37.00
Kyle Anderson,MEM,"SG,SF,PF",588.00,397.00,206.00,59.00,97.00,0.52,0.69,22.00,75.00,2010.00,116.00
